"N","lambda_bar","D","cv","cap","compliance","decay","phi","trigger_link","trigger_mode","model","beta1","beta_l2","beta_cross","grid","power","mcse_power","power_all","type_s","type_m","bias","rel_bias","emp_se","rmse","coverage","ci_width","conv_rate","R_converged","R_total","mean_n","sd_n","below_k","master_seed","R_requested"
20,1,3,0,Inf,0.75,0,0.3,0,"fixed",10,0.2,0.3,0.2,"fixed_10",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1000,2.24495,0.744875526669247,1,20260709,1000
40,1,3,0,Inf,0.75,0,0.3,0,"fixed",10,0.2,0.3,0.2,"fixed_10",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1000,2.253575,0.748732395620526,1,20260709,1000
60,1,3,0,Inf,0.75,0,0.3,0,"fixed",10,0.2,0.3,0.2,"fixed_10",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1000,2.25263333333333,0.746791295551801,1,20260709,1000
90,1,3,0,Inf,0.75,0,0.3,0,"fixed",10,0.2,0.3,0.2,"fixed_10",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1000,2.24856666666667,0.74848430040496,1,20260709,1000
120,1,3,0,Inf,0.75,0,0.3,0,"fixed",10,0.2,0.3,0.2,"fixed_10",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1000,2.24941666666667,0.749100443586399,1,20260709,1000
150,1,3,0,Inf,0.75,0,0.3,0,"fixed",10,0.2,0.3,0.2,"fixed_10",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1000,2.2505,0.748650005844548,1,20260709,1000
20,2,3,0,Inf,0.75,0,0.3,0,"fixed",10,0.2,0.3,0.2,"fixed_10",0.120772946859903,0.0226490598888494,0.025,0.0740740740740741,3.0847476654427,-0.0164286349335406,-0.0821431746677032,0.255646037017636,0.255556397204537,0.942028985507246,1.01484121051912,0.207,207,1000,4.5067,1.03612794633114,1,20260709,1000
40,2,3,0,Inf,0.75,0,0.3,0,"fixed",10,0.2,0.3,0.2,"fixed_10",0.228070175438596,0.0320867036747852,0.039,0,2.12091296642015,-0.0249829816219705,-0.124914908109852,0.181093744617218,0.182283598850744,0.894736842105263,0.606343692011608,0.171,171,1000,4.50395,1.04934155845975,1,20260709,1000
60,2,3,0,Inf,0.75,0,0.3,0,"fixed",10,0.2,0.3,0.2,"fixed_10",0.253086419753086,0.0341595461315197,0.041,0,1.53197459232547,-0.0520644335728604,-0.260322167864302,0.125439173625756,0.135456863902268,0.87037037037037,0.447167168984796,0.162,162,1000,4.50438333333333,1.05566046544708,1,20260709,1000
90,2,3,0,Inf,0.75,0,0.3,0,"fixed",10,0.2,0.3,0.2,"fixed_10",0.339285714285714,0.036528765439959,0.057,0,1.13263121696811,-0.0626748900387554,-0.313374450193777,0.0885660149009566,0.108283843318098,0.845238095238095,0.344615890992923,0.168,168,1000,4.50417777777778,1.05508802385579,1,20260709,1000
120,2,3,0,Inf,0.75,0,0.3,0,"fixed",10,0.2,0.3,0.2,"fixed_10",0.512987012987013,0.0402775546960909,0.079,0,1.00788208036472,-0.0605760180222299,-0.30288009011115,0.0847441080631616,0.103944140187639,0.824675324675325,0.283854397790315,0.154,154,1000,4.50238333333333,1.05586696413887,1,20260709,1000
150,2,3,0,Inf,0.75,0,0.3,0,"fixed",10,0.2,0.3,0.2,"fixed_10",0.612403100775194,0.0428957220302569,0.079,0,0.931059756600301,-0.0574662945347332,-0.287331472673666,0.0716510691388668,0.091632162640533,0.844961240310077,0.254241787123328,0.129,129,1000,4.49962666666667,1.05835555006851,1,20260709,1000
20,3,3,0,Inf,0.75,0,0.3,0,"fixed",10,0.2,0.3,0.2,"fixed_10",0.192452830188679,0.0171241161920978,0.102,0,2.79532458741128,0.0198944033373963,0.0994720166869817,0.244314215058496,0.244893040707664,0.90377358490566,0.863477034069444,0.53,530,1000,6.75335,1.27627966746969,1,20260709,1000
