"N","lambda_bar","D","cv","cap","compliance","decay","phi","trigger_link","trigger_mode","model","beta1","beta_l2","beta_cross","grid","power","mcse_power","power_all","type_s","type_m","bias","rel_bias","emp_se","rmse","coverage","ci_width","conv_rate","R_converged","R_total","mean_n","sd_n","below_k","master_seed","R_requested"
20,1,3,0,Inf,0.75,0,0.3,0,"fixed",1,0.2,0.6,0.1,"fixed_1",0.0708215297450425,0.0136535274597895,0.025,0.137931034482759,2.22223366516644,-0.303323717151702,-0.505539528586169,0.566176762624512,0.641602145346071,0.895184135977337,2.21228232877144,0.353,353,1000,2.24775,0.740859996334419,1,20260709,1000
40,1,3,0,Inf,0.75,0,0.3,0,"fixed",1,0.2,0.6,0.1,"fixed_1",0.115044247787611,0.0212245755076633,0.026,0,1.43790854627863,-0.326569054551199,-0.544281757585332,0.360473148607157,0.485811978612221,0.84070796460177,1.45883253060273,0.226,226,1000,2.245075,0.752797953238016,1,20260709,1000
60,1,3,0,Inf,0.75,0,0.3,0,"fixed",1,0.2,0.6,0.1,"fixed_1",0.125,0.0249288761005458,0.022,0,1.19326195440792,-0.37096807081678,-0.618280118027967,0.299647994321591,0.476336084865977,0.721590909090909,1.13450949208938,0.176,176,1000,2.24531666666667,0.749888612170842,1,20260709,1000
90,1,3,0,Inf,0.75,0,0.3,0,"fixed",1,0.2,0.6,0.1,"fixed_1",0.209677419354839,0.0365567167791866,0.026,0,0.916654487302336,-0.325810971852042,-0.54301828642007,0.210595316466933,0.387486144633749,0.725806451612903,0.909787551062588,0.124,124,1000,2.25403333333333,0.750651592529167,1,20260709,1000
120,1,3,0,Inf,0.75,0,0.3,0,"fixed",1,0.2,0.6,0.1,"fixed_1",0.295774647887324,0.0541635506505695,0.021,0,0.834262098398242,-0.329412059353418,-0.549020098922364,0.18528300497536,0.377304358024028,0.647887323943662,0.792133541687079,0.071,71,1000,2.25089166666667,0.748428852553039,1,20260709,1000
150,1,3,0,Inf,0.75,0,0.3,0,"fixed",1,0.2,0.6,0.1,"fixed_1",0.387755102040816,0.0696054599785033,0.019,0,0.744023645879253,-0.326690425457937,-0.544484042429895,0.172094313225738,0.368427291781724,0.489795918367347,0.701239611306317,0.049,49,1000,2.24804,0.749787765812298,1,20260709,1000
20,2,3,0,Inf,0.75,0,0.3,0,"fixed",1,0.2,0.6,0.1,"fixed_1",0.180327868852459,0.0220141332074952,0.055,0,2.16603599415331,-0.0531247204093028,-0.0885412006821714,0.537610339312066,0.539350989900337,0.911475409836066,1.89051358514657,0.305,305,1000,4.5026,1.04055865780974,1,20260709,1000
40,2,3,0,Inf,0.75,0,0.3,0,"fixed",1,0.2,0.6,0.1,"fixed_1",0.352272727272727,0.0509206884295838,0.031,0,1.41809541963067,-0.130412263996955,-0.217353773328259,0.384657862264726,0.404088662273339,0.795454545454545,1.14024465327155,0.088,88,1000,4.4988,1.05498707738303,1,20260709,1000
60,2,3,0,Inf,0.75,0,0.3,0,"fixed",1,0.2,0.6,0.1,"fixed_1",0.487179487179487,0.0800377530231858,0.019,0,1.23479705772741,-0.110287090409144,-0.183811817348573,0.357851203934021,0.370050268521923,0.743589743589744,0.899074113917548,0.039,39,1000,4.5021,1.05592171564926,1,20260709,1000
90,2,3,0,Inf,0.75,0,0.3,0,"fixed",1,0.2,0.6,0.1,"fixed_1",0.714285714285714,0.170746944190628,0.005,0,0.776248836970907,-0.185810658234301,-0.309684430390502,0.188502184229501,0.254916693885335,0.714285714285714,0.65786759835339,0.007,7,1000,4.50842222222222,1.06037953542781,1,20260709,1000
120,2,3,0,Inf,0.75,0,0.3,0,"fixed",1,0.2,0.6,0.1,"fixed_1",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1000,4.50220833333333,1.0556114917593,1,20260709,1000
150,2,3,0,Inf,0.75,0,0.3,0,"fixed",1,0.2,0.6,0.1,"fixed_1",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1000,4.49861333333333,1.062143726215,1,20260709,1000
20,3,3,0,Inf,0.75,0,0.3,0,"fixed",1,0.2,0.6,0.1,"fixed_1",0.245786516853933,0.0161356392906653,0.175,0,2.04754845329298,0.0219199475885543,0.0365332459809239,0.516875138233183,0.516976951164396,0.929775280898876,1.92210241249426,0.712,712,1000,6.73755,1.29025021981619,1,20260709,1000
