"N","lambda_bar","cv","D","cap","compliance","decay","phi","trigger_link","trigger_mode","model","beta1","beta_l2","beta_cross","grid","power","mcse_power","power_all","type_s","type_m","bias","rel_bias","emp_se","rmse","coverage","ci_width","conv_rate","R_converged","R_total","mean_n","sd_n","below_k","master_seed","R_requested"
20,1,0.3,7,Inf,0.75,0,0.3,0,"poisson",5,0.2,0.3,0.2,"model_5",0.0818965517241379,0.0127297427429373,0.038,0.05,3.69105788703209,-0.016580240850056,-0.0829012042502801,0.314611344488245,0.314709203645865,0.954741379310345,1.31025357038389,0.464,464,1000,5.2435,2.75638040057762,0.92165,20260709,1000
40,1,0.3,7,Inf,0.75,0,0.3,0,"poisson",5,0.2,0.3,0.2,"model_5",0.152597402597403,0.0144886562948537,0.094,0,2.66015682973937,0.00938866816018863,0.0469433408009431,0.217684654662856,0.217710426145371,0.944805194805195,0.874535511922101,0.616,616,1000,5.252025,2.7489872910924,0.9252,20260709,1000
60,1,0.3,7,Inf,0.75,0,0.3,0,"poisson",5,0.2,0.3,0.2,"model_5",0.228571428571429,0.0167297155362606,0.144,0,2.19059868524856,0.00742756489537991,0.0371378244768995,0.176472135976472,0.176488387980533,0.96031746031746,0.70682393669088,0.63,630,1000,5.2475,2.7524520268826,0.924716666666667,20260709,1000
90,1,0.3,7,Inf,0.75,0,0.3,0,"poisson",5,0.2,0.3,0.2,"model_5",0.322206095791001,0.0178035289315959,0.222,0,1.87057024381095,0.0129559460266663,0.0647797301333315,0.149167959405367,0.149621662550695,0.934687953555878,0.566131165508316,0.689,689,1000,5.24897777777778,2.77764918372904,0.923011111111111,20260709,1000
120,1,0.3,7,Inf,0.75,0,0.3,0,"poisson",5,0.2,0.3,0.2,"model_5",0.37126600284495,0.0182220989580225,0.261,0,1.66677640512465,0.00718482516001795,0.0359241258000897,0.123938127260307,0.124058175650657,0.953058321479374,0.491868101569498,0.703,703,1000,5.24668333333333,2.77298573394985,0.924133333333333,20260709,1000
150,1,0.3,7,Inf,0.75,0,0.3,0,"poisson",5,0.2,0.3,0.2,"model_5",0.469050894085282,0.0185084148616783,0.341,0,1.46933783285664,0.00642539813213006,0.0321269906606503,0.105937339966464,0.106059269804397,0.961485557083906,0.439730557244998,0.727,727,1000,5.24567333333333,2.76641346392775,0.924933333333333,20260709,1000
20,2,0.3,7,Inf,0.75,0,0.3,0,"poisson",5,0.2,0.3,0.2,"model_5",0.148014440433213,0.0123187785710719,0.123,0.0538461538461538,2.58878357932688,0.00291144406973606,0.0145572203486803,0.220077768424817,0.219964579867966,0.944645006016847,0.87140744571937,0.831,831,1000,10.45755,4.46239467572595,0.4568,20260709,1000
40,2,0.3,7,Inf,0.75,0,0.3,0,"poisson",5,0.2,0.3,0.2,"model_5",0.255144032921811,0.0139828508792051,0.248,0.008,1.89916508966085,-0.00693499488017502,-0.0346749744008751,0.153132265739347,0.153210508692805,0.948559670781893,0.594136117678044,0.972,972,1000,10.484275,4.49978350394394,0.455125,20260709,1000
60,2,0.3,7,Inf,0.75,0,0.3,0,"poisson",5,0.2,0.3,0.2,"model_5",0.371859296482412,0.01532167512858,0.37,0,1.65927056475503,0.00104886870667656,0.0052443435333828,0.130558538230301,0.130497129633386,0.935678391959799,0.489164901967356,0.995,995,1000,10.4813166666667,4.47801740095788,0.455166666666667,20260709,1000
90,2,0.3,7,Inf,0.75,0,0.3,0,"poisson",5,0.2,0.3,0.2,"model_5",0.498997995991984,0.0158271916643455,0.498,0,1.39394061047382,-0.00100184505041956,-0.00500922525209779,0.101330517931797,0.101284693350305,0.94689378757515,0.397454753668862,0.998,998,1000,10.4889111111111,4.49577369859129,0.455411111111111,20260709,1000
120,2,0.3,7,Inf,0.75,0,0.3,0,"poisson",5,0.2,0.3,0.2,"model_5",0.624,0.015317441039547,0.624,0,1.27644283522686,0.00136947858946435,0.00684739294732173,0.0911195518357093,0.0910842765005068,0.94,0.343551633687755,1,1000,1000,10.5071333333333,4.50047911028946,0.452983333333333,20260709,1000
150,2,0.3,7,Inf,0.75,0,0.3,0,"poisson",5,0.2,0.3,0.2,"model_5",0.712,0.0143197765345692,0.712,0,1.18269022225708,-0.00171752326606078,-0.00858761633030392,0.0808073296289689,0.0807851755176191,0.938,0.308038536395343,1,1000,1000,10.4997666666667,4.52573582358031,0.45302,20260709,1000
20,4,0.3,7,Inf,0.75,0,0.3,0,"poisson",5,0.2,0.3,0.2,"model_5",0.240570846075433,0.0136467937146084,0.236,0,2.09627587891197,0.00523204545740419,0.0261602272870209,0.17498358741556,0.174972620358514,0.942915392456677,0.678178876859522,0.981,981,1000,21.07445,7.67988392770721,0.04475,20260709,1000
40,4,0.3,7,Inf,0.75,0,0.3,0,"poisson",5,0.2,0.3,0.2,"model_5",0.344,0.0150221170279026,0.344,0.00289855072463768,1.59891958758396,-0.00468658825960089,-0.0234329412980044,0.121630037404188,0.121659509461695,0.937,0.481079479931162,1,1000,1000,20.988175,7.77733491662025,0.0462,20260709,1000
60,4,0.3,7,Inf,0.75,0,0.3,0,"poisson",5,0.2,0.3,0.2,"model_5",0.518,0.0158011391994375,0.518,0,1.38865862606104,0.00275439956517637,0.0137719978258818,0.100355087196171,0.100342708253213,0.95,0.395044241340928,1,1000,1000,21.0354,7.74139503447203,0.0457333333333333,20260709,1000
90,4,0.3,7,Inf,0.75,0,0.3,0,"poisson",5,0.2,0.3,0.2,"model_5",0.681,0.0147390298188178,0.681,0,1.17792827848182,-0.00415350074237189,-0.0207675037118595,0.0763045136404983,0.0763793688866827,0.964,0.321205485573275,1,1000,1000,21.0019555555556,7.74548605488621,0.0459666666666667,20260709,1000
120,4,0.3,7,Inf,0.75,0,0.3,0,"poisson",5,0.2,0.3,0.2,"model_5",0.787,0.0129472390879291,0.787,0,1.13153616005357,0.000722850479200371,0.00361425239600185,0.0706862661410068,0.0706546119198992,0.956,0.278063023425361,1,1000,1000,21.005025,7.79605802471228,0.045675,20260709,1000
150,4,0.3,7,Inf,0.75,0,0.3,0,"poisson",5,0.2,0.3,0.2,"model_5",0.875,0.0104582503316759,0.875,0,1.08999579324172,0.00226914328994712,0.0113457164497356,0.0658552511613041,0.0658614166464952,0.948,0.249845165002964,1,1000,1000,20.9798,7.7540644579822,0.0467133333333333,20260709,1000
