"N","lambda_bar","cv","D","cap","compliance","decay","phi","trigger_link","trigger_mode","model","beta1","beta_l2","beta_cross","grid","power","mcse_power","power_all","type_s","type_m","bias","rel_bias","emp_se","rmse","coverage","ci_width","conv_rate","R_converged","R_total","mean_n","sd_n","below_k","master_seed","R_requested"
20,1,0.3,7,Inf,0.75,0,0.3,0,"poisson",2,0.2,0.3,0.1,"model_2",0.183144246353323,0.0155713671164479,0.113,0.0173913043478261,2.17091805136201,-0.0301708695584499,-0.100569565194833,0.300164729771705,0.301435099208705,0.910858995137763,1.05181453726495,0.617,617,1000,5.2364,2.71848303381523,0.92695,20260709,1000
40,1,0.3,7,Inf,0.75,0,0.3,0,"poisson",2,0.2,0.3,0.1,"model_2",0.352941176470588,0.0219038052803802,0.168,0,1.43361625791192,-0.0484592852208113,-0.161530950736038,0.178667309286758,0.184941197928178,0.892857142857143,0.644938861302321,0.476,476,1000,5.263725,2.76176293119839,0.924225,20260709,1000
60,1,0.3,7,Inf,0.75,0,0.3,0,"poisson",2,0.2,0.3,0.1,"model_2",0.454545454545455,0.0250219037528718,0.18,0,1.20694361516221,-0.0535864223040801,-0.178621407680267,0.147017872508983,0.15630476013484,0.823232323232323,0.498072665606482,0.396,396,1000,5.2567,2.75791240213136,0.924066666666667,20260709,1000
90,1,0.3,7,Inf,0.75,0,0.3,0,"poisson",2,0.2,0.3,0.1,"model_2",0.622222222222222,0.0295059145605722,0.168,0,0.925047148563872,-0.0808972438029558,-0.269657479343186,0.110991565170226,0.137178224203257,0.766666666666667,0.383655837822634,0.27,270,1000,5.24692222222222,2.77207645466912,0.923677777777778,20260709,1000
120,1,0.3,7,Inf,0.75,0,0.3,0,"poisson",2,0.2,0.3,0.1,"model_2",0.737068965517241,0.0289022062149022,0.171,0,0.876753393959728,-0.0814601556180402,-0.271533852060134,0.114575385893952,0.140380525259793,0.668103448275862,0.323080625225469,0.232,232,1000,5.24065,2.76036113681125,0.924816666666667,20260709,1000
150,1,0.3,7,Inf,0.75,0,0.3,0,"poisson",2,0.2,0.3,0.1,"model_2",0.847058823529412,0.0276054313720603,0.144,0,0.744951343251365,-0.0940730975824765,-0.313576991941588,0.0829544687873135,0.125262574214452,0.641176470588235,0.279498880092099,0.17,170,1000,5.26220666666667,2.78212087841737,0.923306666666667,20260709,1000
20,2,0.3,7,Inf,0.75,0,0.3,0,"poisson",2,0.2,0.3,0.1,"model_2",0.221774193548387,0.013190233458658,0.22,0.00900900900900901,1.94937684007276,-0.0182322356375774,-0.0607741187919246,0.25937591360578,0.259885475860664,0.933467741935484,0.996835320361454,0.992,992,1000,10.5018,4.38887649870276,0.45205,20260709,1000
40,2,0.3,7,Inf,0.75,0,0.3,0,"poisson",2,0.2,0.3,0.1,"model_2",0.409409409409409,0.0155574863097071,0.409,0,1.44531013761688,-0.0118420013583888,-0.039473337861296,0.169329402452572,0.169658416777461,0.941941941941942,0.665456115658825,0.999,999,1000,10.5283,4.48597180402454,0.448475,20260709,1000
60,2,0.3,7,Inf,0.75,0,0.3,0,"poisson",2,0.2,0.3,0.1,"model_2",0.557,0.0157083099027235,0.557,0,1.23197211221874,-0.0165453655944995,-0.0551512186483318,0.128025512885576,0.129026704756499,0.96,0.53455013597618,1,1000,1000,10.4836333333333,4.51564224768387,0.45535,20260709,1000
90,2,0.3,7,Inf,0.75,0,0.3,0,"poisson",2,0.2,0.3,0.1,"model_2",0.733733733733734,0.0139844236856836,0.733,0,1.12895162858398,-0.0111870651029491,-0.0372902170098305,0.115102452413296,0.115587469653006,0.942942942942943,0.429779871213825,0.999,999,1000,10.4794,4.49432972661756,0.455133333333333,20260709,1000
