"N","lambda_bar","cv","D","cap","compliance","decay","phi","trigger_link","trigger_mode","model","beta1","beta_l2","beta_cross","grid","power","mcse_power","power_all","type_s","type_m","bias","rel_bias","emp_se","rmse","coverage","ci_width","conv_rate","R_converged","R_total","mean_n","sd_n","below_k","master_seed","R_requested"
20,1,0.3,7,Inf,0.75,0,0.3,0,"poisson",4,0.2,0.3,0.1,"model_4",0.450084602368866,0.0204645065637808,0.266,0,1.63841654320013,0.018198600889855,0.0909930044492752,0.128358645681127,0.129534755649303,0.937394247038917,0.470106034649558,0.591,591,1000,5.25905,2.74171178310815,0.9247,20260709,1000
40,1,0.3,7,Inf,0.75,0,0.3,0,"poisson",4,0.2,0.3,0.1,"model_4",0.667372881355932,0.0216866317579641,0.315,0,1.24885399427738,0.0046650785742943,0.0233253928714715,0.0847508983470478,0.084789504731992,0.947033898305085,0.335055034305512,0.472,472,1000,5.2351,2.74852980472746,0.926,20260709,1000
60,1,0.3,7,Inf,0.75,0,0.3,0,"poisson",4,0.2,0.3,0.1,"model_4",0.863839285714286,0.0162032964962627,0.387,0,1.1523516968838,0.0124384230308808,0.062192115154404,0.0709799091096584,0.0719834425389712,0.933035714285714,0.27136415646551,0.448,448,1000,5.2616,2.77252333179238,0.923816666666667,20260709,1000
90,1,0.3,7,Inf,0.75,0,0.3,0,"poisson",4,0.2,0.3,0.1,"model_4",0.956852791878173,0.0102364837902781,0.377,0,1.09547986186405,0.0134174356272135,0.0670871781360674,0.0587454895761707,0.0601855560620882,0.941624365482233,0.226955552016666,0.394,394,1000,5.2533,2.78292938788361,0.922944444444444,20260709,1000
120,1,0.3,7,Inf,0.75,0,0.3,0,"poisson",4,0.2,0.3,0.1,"model_4",0.986754966887417,0.00657851263671017,0.298,0,1.07589206050207,0.0134465286946295,0.0672326434731477,0.0541791557035912,0.0557357178328458,0.894039735099338,0.196010525855167,0.302,302,1000,5.24838333333333,2.77965317396741,0.924091666666667,20260709,1000
150,1,0.3,7,Inf,0.75,0,0.3,0,"poisson",4,0.2,0.3,0.1,"model_4",0.996478873239437,0.00351492212708973,0.283,0,1.06419906681951,0.0124126177228206,0.0620630886141031,0.0436757614823797,0.0453313182742902,0.947183098591549,0.175515616636735,0.284,284,1000,5.24734,2.77383355632427,0.924873333333333,20260709,1000
20,2,0.3,7,Inf,0.75,0,0.3,0,"poisson",4,0.2,0.3,0.1,"model_4",0.734611503531786,0.0140259757008129,0.728,0,1.17119094143079,-0.000463487731047568,-0.00231743865523784,0.0793090694364166,0.0792703996696411,0.945509586276488,0.30154715653571,0.991,991,1000,10.50025,4.45210293825741,0.45205,20260709,1000
40,2,0.3,7,Inf,0.75,0,0.3,0,"poisson",4,0.2,0.3,0.1,"model_4",0.950901803607214,0.00683967292750696,0.949,0,1.03438808282951,0.00102833679159148,0.00514168395795739,0.0544881714374379,0.0544705736384764,0.952905811623247,0.213658983578641,0.998,998,1000,10.478025,4.47137562996289,0.454875,20260709,1000
60,2,0.3,7,Inf,0.75,0,0.3,0,"poisson",4,0.2,0.3,0.1,"model_4",0.993,0.00263647491928143,0.993,0,1.00392304029169,-8.93187281006402e-05,-0.000446593640503201,0.0446529376596483,0.0446306949826012,0.935,0.173912662615174,1,1000,1000,10.49835,4.50567060920839,0.453583333333333,20260709,1000
90,2,0.3,7,Inf,0.75,0,0.3,0,"poisson",4,0.2,0.3,0.1,"model_4",0.999,0.000999499874937461,0.999,0,1.00648604654635,0.00116698443539703,0.00583492217698517,0.0358299652101288,0.0358310545926929,0.95,0.141477869036613,1,1000,1000,10.5044666666667,4.49970070591051,0.451288888888889,20260709,1000
120,2,0.3,7,Inf,0.75,0,0.3,0,"poisson",4,0.2,0.3,0.1,"model_4",1,0,1,0,1.00534191957049,0.00106838391409825,0.00534191957049124,0.03089827100367,0.0309012927246275,0.961,0.122634323771059,1,1000,1000,10.494775,4.50271799834615,0.45245,20260709,1000
150,2,0.3,7,Inf,0.75,0,0.3,0,"poisson",4,0.2,0.3,0.1,"model_4",1,0,1,0,0.997561579071636,-0.000487684185672799,-0.00243842092836399,0.0285954236229221,0.0285852827480708,0.94,0.10963459324014,1,1000,1000,10.4990266666667,4.50410275914618,0.45238,20260709,1000
20,4,0.3,7,Inf,0.75,0,0.3,0,"poisson",4,0.2,0.3,0.1,"model_4",0.967,0.00564898220921256,0.967,0,1.01509970979725,-0.000863934929782956,-0.00431967464891478,0.0520619267087054,0.0520430605553987,0.951,0.201864999601133,1,1000,1000,20.96405,7.71313816406312,0.0472,20260709,1000
40,4,0.3,7,Inf,0.75,0,0.3,0,"poisson",4,0.2,0.3,0.1,"model_4",1,0,1,0,0.992114385932558,-0.00157712281348843,-0.00788561406744215,0.0370150421378862,0.0370301302656883,0.95,0.142437162096979,1,1000,1000,20.97295,7.70894681194563,0.04555,20260709,1000
60,4,0.3,7,Inf,0.75,0,0.3,0,"poisson",4,0.2,0.3,0.1,"model_4",1,0,1,0,0.995029477595361,-0.000994104480927765,-0.00497052240463883,0.0294210303067374,0.0294231145700902,0.951,0.11614378098102,1,1000,1000,20.9813666666667,7.77731615293021,0.0463666666666667,20260709,1000
