"N","lambda_bar","D","cv","cap","compliance","decay","phi","trigger_link","trigger_mode","model","beta1","beta_l2","beta_cross","grid","power","mcse_power","power_all","type_s","type_m","bias","rel_bias","emp_se","rmse","coverage","ci_width","conv_rate","R_converged","R_total","mean_n","sd_n","below_k","master_seed","R_requested"
20,1,3,0,Inf,0.75,0,0.3,0,"fixed",4,0.2,0.3,0.1,"fixed_4",0.204545454545455,0.021499643996144,0.072,0.027027027027027,2.76576548029752,0.00859854579321187,0.0429927289660594,0.284731720710718,0.284456972410231,0.877840909090909,0.910214359644253,0.352,352,1000,2.2479,0.73839044225553,1,20260709,1000
40,1,3,0,Inf,0.75,0,0.3,0,"fixed",4,0.2,0.3,0.1,"fixed_4",0.247967479674797,0.027532656788465,0.061,0.0317460317460317,2.17291352618067,0.00154650928682257,0.00773254643411284,0.191053758547839,0.190671314328596,0.898373983739837,0.659879941633363,0.246,246,1000,2.246525,0.745207692052253,1,20260709,1000
60,1,3,0,Inf,0.75,0,0.3,0,"fixed",4,0.2,0.3,0.1,"fixed_4",0.351758793969849,0.0338504355081896,0.07,0,1.76197768141973,0.000765429350353952,0.00382714675176976,0.146842781961372,0.14647536551999,0.914572864321608,0.528000918450044,0.199,199,1000,2.2502,0.747947505537793,1,20260709,1000
90,1,3,0,Inf,0.75,0,0.3,0,"fixed",4,0.2,0.3,0.1,"fixed_4",0.480769230769231,0.0400024179970117,0.075,0,1.45080510853931,0.00436813340136849,0.0218406670068425,0.108741721891818,0.108480610767485,0.948717948717949,0.433846412457031,0.156,156,1000,2.25003333333333,0.748842346720744,1,20260709,1000
120,1,3,0,Inf,0.75,0,0.3,0,"fixed",4,0.2,0.3,0.1,"fixed_4",0.697916666666667,0.046862942121987,0.067,0,1.31317842117849,0.0225043657198028,0.112521828599014,0.0866364535438564,0.0890737635913615,0.927083333333333,0.373750503957853,0.096,96,1000,2.25171666666667,0.74660854811533,1,20260709,1000
150,1,3,0,Inf,0.75,0,0.3,0,"fixed",4,0.2,0.3,0.1,"fixed_4",0.7,0.0591607978309962,0.042,0,1.33110142173781,0.0153256653598686,0.076628326799343,0.0955385084045179,0.0959705987811552,0.933333333333333,0.332220939784948,0.06,60,1000,2.2507,0.74912989866015,1,20260709,1000
20,2,3,0,Inf,0.75,0,0.3,0,"fixed",4,0.2,0.3,0.1,"fixed_4",0.42,0.0312153808242027,0.105,0,1.71983516363378,0.0190146849010107,0.0950734245050537,0.140809465181155,0.141808160923655,0.936,0.521367820882938,0.25,250,1000,4.4947,1.04991097636654,1,20260709,1000
40,2,3,0,Inf,0.75,0,0.3,0,"fixed",4,0.2,0.3,0.1,"fixed_4",0.53763440860215,0.051700507608536,0.05,0,1.3900232303072,-0.00397333486799251,-0.0198666743399625,0.108422895050667,0.107911575261552,0.924731182795699,0.376964532824073,0.093,93,1000,4.5001,1.05574858755887,1,20260709,1000
60,2,3,0,Inf,0.75,0,0.3,0,"fixed",4,0.2,0.3,0.1,"fixed_4",0.769230769230769,0.0674660014851561,0.03,0,1.3021119221613,0.0212234320182589,0.106117160091295,0.0988481796720032,0.099854189636243,0.871794871794872,0.303133562215773,0.039,39,1000,4.49868333333333,1.05976144139662,1,20260709,1000
90,2,3,0,Inf,0.75,0,0.3,0,"fixed",4,0.2,0.3,0.1,"fixed_4",0.875,0.116926793336686,0.007,0,1.17046206598092,0.0121226031821833,0.0606130159109164,0.0923143758632927,0.0871989592831434,0.75,0.263633788095091,0.008,8,1000,4.49577777777778,1.05849315423392,1,20260709,1000
120,2,3,0,Inf,0.75,0,0.3,0,"fixed",4,0.2,0.3,0.1,"fixed_4",1,0,0.004,0,1.33298637760203,0.0665972755204056,0.332986377602028,0.0604594060483633,0.0847154173780161,0.75,0.225274174522144,0.004,4,1000,4.49564166666667,1.06083972921588,1,20260709,1000
150,2,3,0,Inf,0.75,0,0.3,0,"fixed",4,0.2,0.3,0.1,"fixed_4",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1000,4.50489333333333,1.05883956627135,1,20260709,1000
20,3,3,0,Inf,0.75,0,0.3,0,"fixed",4,0.2,0.3,0.1,"fixed_4",0.544186046511628,0.0196104541529056,0.351,0,1.44024651859953,0.0114795206171822,0.0573976030859111,0.107979340965407,0.108504565183711,0.945736434108527,0.399210099973159,0.645,645,1000,6.7581,1.27078691187942,1,20260709,1000
40,3,3,0,Inf,0.75,0,0.3,0,"fixed",4,0.2,0.3,0.1,"fixed_4",0.806273062730627,0.016976041889649,0.437,0,1.13170268863121,0.00238778406059711,0.0119389203029856,0.0702725786740772,0.0702483145061833,0.953874538745387,0.280690050026302,0.542,542,1000,6.75485,1.29380937391778,1,20260709,1000
60,3,3,0,Inf,0.75,0,0.3,0,"fixed",4,0.2,0.3,0.1,"fixed_4",0.950381679389313,0.00948646513434571,0.498,0,1.08744324298264,0.0112425145211187,0.0562125726055934,0.0598702304718744,0.0608604804990905,0.940839694656489,0.230011539277292,0.524,524,1000,6.74668333333333,1.29008374199758,1,20260709,1000
90,3,3,0,Inf,0.75,0,0.3,0,"fixed",4,0.2,0.3,0.1,"fixed_4",0.989495798319328,0.00467288428459718,0.471,0,1.02341422171802,0.00348388112123232,0.0174194056061616,0.048333355407534,0.0484080868417985,0.932773109243697,0.189274967423337,0.476,476,1000,6.74454444444444,1.29656978923967,1,20260709,1000
120,3,3,0,Inf,0.75,0,0.3,0,"fixed",4,0.2,0.3,0.1,"fixed_4",1,0,0.42,0,1.02407917886346,0.00481583577269279,0.0240791788634639,0.0419457404278479,0.0421716523168657,0.945238095238095,0.162896023435653,0.42,420,1000,6.75095,1.29293155133742,1,20260709,1000
150,3,3,0,Inf,0.75,0,0.3,0,"fixed",4,0.2,0.3,0.1,"fixed_4",1,0,0.388,0,1.02571339295864,0.00514267859172779,0.0257133929586389,0.0361610607774174,0.0364787513360343,0.963917525773196,0.146349703547834,0.388,388,1000,6.75121333333333,1.29313746153645,1,20260709,1000
20,5,3,0,Inf,0.75,0,0.3,0,"fixed",4,0.2,0.3,0.1,"fixed_4",0.775879396984925,0.0132198479650991,0.772,0,1.16087248445798,0.00377124136123097,0.0188562068061549,0.0753504169013113,0.075406905334968,0.943718592964824,0.288971773738819,0.995,995,1000,11.2457,1.65504797788059,0.14885,20260709,1000
40,5,3,0,Inf,0.75,0,0.3,0,"fixed",4,0.2,0.3,0.1,"fixed_4",0.968,0.00556560868189635,0.968,0,1.01153396578672,-0.00134866210530951,-0.00674331052654756,0.0517890884235668,0.051780753755991,0.952,0.204280435156776,1,1000,1000,11.238,1.67078618902887,0.14955,20260709,1000
60,5,3,0,Inf,0.75,0,0.3,0,"fixed",4,0.2,0.3,0.1,"fixed_4",0.999,0.000999499874937461,0.999,0,0.998598465638403,-0.000414295909066609,-0.00207147954533304,0.0430781684961315,0.0430586171803088,0.952,0.166650756783437,1,1000,1000,11.2443333333333,1.66641923900255,0.1487,20260709,1000
90,5,3,0,Inf,0.75,0,0.3,0,"fixed",4,0.2,0.3,0.1,"fixed_4",1,0,1,0,1.00662814322142,0.00132562864428365,0.00662814322141825,0.0347746570893395,0.0347825357069897,0.95,0.135693484031483,1,1000,1000,11.2539777777778,1.66972170688707,0.148466666666667,20260709,1000
120,5,3,0,Inf,0.75,0,0.3,0,"fixed",4,0.2,0.3,0.1,"fixed_4",1,0,1,0,0.997672270139902,-0.000465545972019671,-0.00232772986009835,0.0295255405547391,0.0295144459639099,0.952,0.117666002071517,1,1000,1000,11.254275,1.6708465552466,0.148216666666667,20260709,1000
150,5,3,0,Inf,0.75,0,0.3,0,"fixed",4,0.2,0.3,0.1,"fixed_4",1,0,1,0,1.00829994044693,0.0016599880893865,0.0082999404469325,0.0261209307928144,0.0261605864405679,0.95,0.104858406017524,1,1000,1000,11.2510933333333,1.67466254869521,0.148693333333333,20260709,1000
20,8,3,0,Inf,0.75,0,0.3,0,"fixed",4,0.2,0.3,0.1,"fixed_4",0.938,0.00762600813007697,0.938,0,1.04237716354721,0.000862488750982326,0.00431244375491163,0.0567299105394094,0.0567080977806976,0.946,0.21938153680471,1,1000,1000,18.01105,2.08214930229253,2e-04,20260709,1000
40,8,3,0,Inf,0.75,0,0.3,0,"fixed",4,0.2,0.3,0.1,"fixed_4",1,0,1,0,0.997474807301617,-0.000505038539676539,-0.00252519269838269,0.0393274649443325,0.039311040604076,0.948,0.155265803760746,1,1000,1000,17.9795,2.10117296413674,0.000174999999999999,20260709,1000
60,8,3,0,Inf,0.75,0,0.3,0,"fixed",4,0.2,0.3,0.1,"fixed_4",1,0,1,0,0.999114926745787,-0.000177014650842688,-0.000885073254213442,0.0322690051091526,0.0322533523254622,0.957,0.126363517374445,1,1000,1000,18.0059166666667,2.11031035620869,3.33333333333335e-05,20260709,1000
90,8,3,0,Inf,0.75,0,0.3,0,"fixed",4,0.2,0.3,0.1,"fixed_4",1,0,1,0,1.00824718022018,0.00164943604403589,0.00824718022017945,0.0266337941210439,0.0266715254448679,0.947,0.103221981315236,1,1000,1000,18.0080777777778,2.11327401236924,1e-04,20260709,1000
120,8,3,0,Inf,0.75,0,0.3,0,"fixed",4,0.2,0.3,0.1,"fixed_4",1,0,1,0,1.00115571071542,0.000231142143083007,0.00115571071541504,0.0229368163305112,0.0229265102561758,0.953,0.0894203105098745,1,1000,1000,18.000025,2.11953611206415,9.16666666666664e-05,20260709,1000
150,8,3,0,Inf,0.75,0,0.3,0,"fixed",4,0.2,0.3,0.1,"fixed_4",1,0,1,0,1.00412675161342,0.000825350322683216,0.00412675161341608,0.0209033795475953,0.0209092211330185,0.949,0.0799499685587863,1,1000,1000,18.00022,2.11726756846228,9.33333333333329e-05,20260709,1000
20,1,7,0,Inf,0.75,0,0.3,0,"fixed",4,0.2,0.3,0.1,"fixed_4",0.457478005865103,0.0269784251813059,0.156,0.00636942675159236,1.64239343363333,0.015008873095583,0.0750443654779148,0.135568505921622,0.136199079428491,0.92375366568915,0.466141470737966,0.341,341,1000,5.25175,1.12883999914622,1,20260709,1000
40,1,7,0,Inf,0.75,0,0.3,0,"fixed",4,0.2,0.3,0.1,"fixed_4",0.72538860103627,0.0321266904777222,0.14,0,1.32732822506029,0.0204165671209883,0.102082835604942,0.100696865449979,0.102489788742189,0.89119170984456,0.333490952917675,0.193,193,1000,5.24745,1.14086503583928,1,20260709,1000
