"N","lambda_bar","cv","D","cap","compliance","decay","phi","trigger_link","trigger_mode","model","beta1","beta_l2","beta_cross","grid","power","mcse_power","power_all","type_s","type_m","bias","rel_bias","emp_se","rmse","coverage","ci_width","conv_rate","R_converged","R_total","mean_n","sd_n","below_k","master_seed","R_requested"
20,1,0.3,7,Inf,0.75,0,0.3,0,"poisson",1,0.2,0.6,0.1,"model_1",0.195548489666137,0.0158143681955232,0.123,0,2.04727900210776,-0.0462196414172809,-0.0770327356954681,0.529234408454793,0.530829559956366,0.934817170111288,1.96752190383063,0.629,629,1000,5.27655,2.73818138485922,0.92315,20260709,1000
40,1,0.3,7,Inf,0.75,0,0.3,0,"poisson",1,0.2,0.6,0.1,"model_1",0.359281437125749,0.0214354290111355,0.18,0,1.43215991736714,-0.0919769611134835,-0.153294935189139,0.370645842697817,0.381528365681973,0.868263473053892,1.23908919563753,0.501,501,1000,5.2591,2.76609892621881,0.922625,20260709,1000
60,1,0.3,7,Inf,0.75,0,0.3,0,"poisson",1,0.2,0.6,0.1,"model_1",0.503916449086162,0.0255480227388673,0.193,0,1.12938005849341,-0.111174128162856,-0.185290213604761,0.271367460240743,0.292929535776948,0.859007832898172,0.974805689879552,0.383,383,1000,5.22326666666667,2.77531356360403,0.9246,20260709,1000
90,1,0.3,7,Inf,0.75,0,0.3,0,"poisson",1,0.2,0.6,0.1,"model_1",0.62962962962963,0.0280209252690969,0.187,0,0.911202107863024,-0.168139791815602,-0.280232986359336,0.219206751835214,0.275972461928324,0.737373737373737,0.737902130399343,0.297,297,1000,5.24226666666667,2.77203117175691,0.924533333333333,20260709,1000
120,1,0.3,7,Inf,0.75,0,0.3,0,"poisson",1,0.2,0.6,0.1,"model_1",0.701680672268908,0.0296566419809241,0.167,0,0.846122779341226,-0.185148854352565,-0.308581423920942,0.208562713456997,0.278560114343713,0.651260504201681,0.621815980566076,0.238,238,1000,5.26095,2.77840575221037,0.923166666666667,20260709,1000
150,1,0.3,7,Inf,0.75,0,0.3,0,"poisson",1,0.2,0.6,0.1,"model_1",0.757731958762887,0.0307613224006433,0.147,0,0.743450520544555,-0.218518554488041,-0.364197590813402,0.179955358449021,0.282785010583127,0.54639175257732,0.537624140222597,0.194,194,1000,5.24128,2.76771356660295,0.925093333333333,20260709,1000
20,2,0.3,7,Inf,0.75,0,0.3,0,"poisson",1,0.2,0.6,0.1,"model_1",0.263052208835341,0.0139511390713354,0.262,0,1.93519800384473,0.00475544304169939,0.00792573840283232,0.47516483022138,0.474950041318537,0.940763052208835,1.85022937288397,0.996,996,1000,10.5007,4.46504107225562,0.45565,20260709,1000
40,2,0.3,7,Inf,0.75,0,0.3,0,"poisson",1,0.2,0.6,0.1,"model_1",0.396,0.0154655746740947,0.396,0,1.47802994973739,-0.0317503127051576,-0.0529171878419293,0.340510927532471,0.341818411490853,0.929,1.29748421589048,1,1000,1000,10.5275,4.4929197157314,0.453325,20260709,1000
60,2,0.3,7,Inf,0.75,0,0.3,0,"poisson",1,0.2,0.6,0.1,"model_1",0.599,0.0154983547513922,0.599,0,1.25526222511784,-0.0138812926392332,-0.0231354877320554,0.267717861903356,0.267943783308847,0.945,1.04233696301878,1,1000,1000,10.48865,4.49074874133271,0.453583333333333,20260709,1000
90,2,0.3,7,Inf,0.75,0,0.3,0,"poisson",1,0.2,0.6,0.1,"model_1",0.751,0.0136747577675073,0.751,0,1.10600257583107,-0.0271925970672683,-0.0453209951121138,0.22344363901901,0.22498126609454,0.932,0.853467241390816,1,1000,1000,10.5265777777778,4.51278102851819,0.450833333333333,20260709,1000
