"N","lambda_bar","cv","D","cap","compliance","decay","phi","trigger_link","trigger_mode","model","beta1","beta_l2","beta_cross","grid","power","mcse_power","power_all","type_s","type_m","bias","rel_bias","emp_se","rmse","coverage","ci_width","conv_rate","R_converged","R_total","mean_n","sd_n","below_k","master_seed","R_requested"
20,1,0.3,7,Inf,0.75,0,0.3,0,"poisson",10,0.2,0.3,0.2,"model_10",0.171084337349398,0.0184857148926365,0.071,0.0657894736842105,3.16155423976238,0.0151054099866969,0.0755270499334844,0.291759590999523,0.291799100582262,0.88433734939759,1.0118475066633,0.415,415,1000,5.26565,2.75299062328986,0.9227,20260709,1000
40,1,0.3,7,Inf,0.75,0,0.3,0,"poisson",10,0.2,0.3,0.2,"model_10",0.222972972972973,0.0197538926655664,0.099,0.01,2.20035051205825,3.33833615555057e-05,0.000166916807777528,0.183948228034508,0.183740965392296,0.90990990990991,0.657133568261857,0.444,444,1000,5.235225,2.74203842982872,0.9249,20260709,1000
60,1,0.3,7,Inf,0.75,0,0.3,0,"poisson",10,0.2,0.3,0.2,"model_10",0.327751196172249,0.0229587913330268,0.137,0,1.73309836607016,-0.0104611028386259,-0.0523055141931293,0.146240443392475,0.146439539187228,0.904306220095694,0.512120905530697,0.418,418,1000,5.24363333333333,2.76025360159989,0.924033333333333,20260709,1000
90,1,0.3,7,Inf,0.75,0,0.3,0,"poisson",10,0.2,0.3,0.2,"model_10",0.494708994708995,0.0257157850594707,0.187,0,1.42094238307643,-0.00606300088770592,-0.0303150044385296,0.115658889114649,0.11566481651151,0.912698412698413,0.401911419345746,0.378,378,1000,5.25973333333333,2.77936683367215,0.922644444444444,20260709,1000
120,1,0.3,7,Inf,0.75,0,0.3,0,"poisson",10,0.2,0.3,0.2,"model_10",0.551912568306011,0.0259941715436382,0.202,0,1.20104541743801,-0.0238891654667101,-0.11944582733355,0.0948837865479801,0.0977191229950431,0.90983606557377,0.335017244304318,0.366,366,1000,5.25285833333333,2.77730402217948,0.922891666666667,20260709,1000
150,1,0.3,7,Inf,0.75,0,0.3,0,"poisson",10,0.2,0.3,0.2,"model_10",0.624633431085044,0.0262218433186209,0.213,0,1.13332441193412,-0.0231354072385371,-0.115677036192685,0.0880166267028852,0.0908815458962592,0.894428152492669,0.295917168757765,0.341,341,1000,5.25176,2.7786143970891,0.92348,20260709,1000
20,2,0.3,7,Inf,0.75,0,0.3,0,"poisson",10,0.2,0.3,0.2,"model_10",0.237880496054115,0.014296480817164,0.211,0.0186046511627907,2.37184570644969,0.0076616522211567,0.0383082611057835,0.213027496058152,0.213045189969005,0.898534385569335,0.76186074560176,0.887,887,1000,10.4564,4.44243144765718,0.4599,20260709,1000
40,2,0.3,7,Inf,0.75,0,0.3,0,"poisson",10,0.2,0.3,0.2,"model_10",0.342424242424242,0.0150812573700954,0.339,0,1.78008399835141,0.00427828408228687,0.0213914204114343,0.144236370596635,0.14422697405216,0.934343434343434,0.540151253505719,0.99,990,1000,10.506575,4.48786151496264,0.452425,20260709,1000
60,2,0.3,7,Inf,0.75,0,0.3,0,"poisson",10,0.2,0.3,0.2,"model_10",0.453907815631263,0.0157598304258078,0.453,0,1.55632365816349,0.00648917101229354,0.0324458550614677,0.12221721206582,0.122328203144988,0.925851703406814,0.443277011729485,0.998,998,1000,10.4959666666667,4.47589985376399,0.4518,20260709,1000
90,2,0.3,7,Inf,0.75,0,0.3,0,"poisson",10,0.2,0.3,0.2,"model_10",0.607,0.015445096309185,0.607,0,1.35078372581794,0.0113755849275767,0.0568779246378835,0.0941750797091665,0.0948128716210733,0.941,0.364285096404954,1,1000,1000,10.493,4.52245660629518,0.454166666666667,20260709,1000
