"N","lambda_bar","cv","D","cap","compliance","decay","phi","trigger_link","trigger_mode","model","beta1","beta_l2","beta_cross","grid","power","mcse_power","power_all","type_s","type_m","bias","rel_bias","emp_se","rmse","coverage","ci_width","conv_rate","R_converged","R_total","mean_n","sd_n","below_k","master_seed","R_requested"
20,1,0.3,7,Inf,0.75,0,0.3,0,"poisson",11,0.2,0.3,0.1,"model_11",0.136531365313653,0.0147482284632098,0.074,0.0512820512820513,3.04980573409684,-0.00421498711910016,-0.0421498711910016,0.149248470421055,0.149170285439262,0.931734317343173,0.565699939151382,0.542,542,1000,5.2841,2.73475245184847,0.9223,20260709,1000
40,1,0.3,7,Inf,0.75,0,0.3,0,"poisson",11,0.2,0.3,0.1,"model_11",0.261515601783061,0.016939942503341,0.176,0.00564971751412429,2.29299637822921,0.0103122513829015,0.103122513829015,0.10111329632615,0.101563033107543,0.913818722139673,0.361936895738282,0.673,673,1000,5.263025,2.77447426080875,0.92235,20260709,1000
60,1,0.3,7,Inf,0.75,0,0.3,0,"poisson",11,0.2,0.3,0.1,"model_11",0.294520547945205,0.0168709117740168,0.215,0.00462962962962963,1.84055203212681,-0.00210285769288793,-0.0210285769288793,0.0769011596836324,0.0768772351949387,0.93013698630137,0.2850031876978,0.73,730,1000,5.24041666666667,2.76533937736547,0.923733333333333,20260709,1000
90,1,0.3,7,Inf,0.75,0,0.3,0,"poisson",11,0.2,0.3,0.1,"model_11",0.418543046357616,0.0179537582888128,0.316,0,1.57786997865365,0.00373809465375052,0.0373809465375052,0.060934549098492,0.0610088085374069,0.936423841059603,0.228002939074178,0.755,755,1000,5.2513,2.7793977531429,0.923433333333333,20260709,1000
120,1,0.3,7,Inf,0.75,0,0.3,0,"poisson",11,0.2,0.3,0.1,"model_11",0.522368421052632,0.0181187476961968,0.397,0.00251256281407035,1.36251021625256,-0.00120884971024224,-0.0120884971024224,0.0528306601490846,0.052809729193585,0.93421052631579,0.194987088945333,0.76,760,1000,5.25283333333333,2.77580760737414,0.924225,20260709,1000
150,1,0.3,7,Inf,0.75,0,0.3,0,"poisson",11,0.2,0.3,0.1,"model_11",0.579345088161209,0.0175194874219344,0.46,0,1.27105983811236,-0.00385470200424103,-0.0385470200424103,0.0471061856009108,0.0472340634314677,0.92191435768262,0.172622067195263,0.794,794,1000,5.24592666666667,2.76738731100984,0.925026666666667,20260709,1000
20,2,0.3,7,Inf,0.75,0,0.3,0,"poisson",11,0.2,0.3,0.1,"model_11",0.201098901098901,0.0132871140201438,0.183,0.0213903743315508,2.45892942965185,0.00617592441398333,0.0617592441398333,0.110911494371536,0.111022446597659,0.924175824175824,0.423683357855983,0.91,910,1000,10.50215,4.45002515456137,0.4516,20260709,1000
40,2,0.3,7,Inf,0.75,0,0.3,0,"poisson",11,0.2,0.3,0.1,"model_11",0.306451612903226,0.0146373852248963,0.304,0,1.84454122091904,0.00630844007760885,0.0630844007760885,0.0729188377825669,0.0731545848363034,0.932459677419355,0.285546716999613,0.992,992,1000,10.5336,4.49503835882197,0.45205,20260709,1000
60,2,0.3,7,Inf,0.75,0,0.3,0,"poisson",11,0.2,0.3,0.1,"model_11",0.437437437437437,0.0156949755662004,0.437,0,1.57984601576069,0.00494578075336487,0.0494578075336487,0.0601283004454819,0.060301361760548,0.933933933933934,0.231709508287613,0.999,999,1000,10.5158,4.50927509663923,0.454016666666667,20260709,1000
90,2,0.3,7,Inf,0.75,0,0.3,0,"poisson",11,0.2,0.3,0.1,"model_11",0.574,0.0156372631876553,0.574,0,1.38263263974726,0.00475997136003317,0.0475997136003317,0.0498970941547572,0.0500987785522956,0.937,0.189767655484629,1,1000,1000,10.5063,4.51484782718403,0.452622222222222,20260709,1000
