"N","lambda_bar","cv","D","cap","compliance","decay","phi","trigger_link","trigger_mode","model","beta1","beta_l2","beta_cross","grid","power","mcse_power","power_all","type_s","type_m","bias","rel_bias","emp_se","rmse","coverage","ci_width","conv_rate","R_converged","R_total","mean_n","sd_n","below_k","master_seed","R_requested"
20,1,0.3,7,Inf,0.75,0,0.3,0,"poisson",8,0.2,0.3,0.1,"model_8",0.1158357771261,0.0122545012296154,0.079,0,3.24804035002775,0.00771913307805382,0.0771913307805382,0.146593872709407,0.146689599543525,0.950146627565982,0.5426424318528,0.682,682,1000,5.25815,2.73498492734804,0.92515,20260709,1000
40,1,0.3,7,Inf,0.75,0,0.3,0,"poisson",8,0.2,0.3,0.1,"model_8",0.254355400696864,0.0181773459937065,0.146,0,2.14881808892871,0.0057116573333166,0.057116573333166,0.0934462550387562,0.0935393645145151,0.954703832752613,0.357047454083081,0.574,574,1000,5.268425,2.75195004475285,0.923325,20260709,1000
60,1,0.3,7,Inf,0.75,0,0.3,0,"poisson",8,0.2,0.3,0.1,"model_8",0.323108384458078,0.0211484845188903,0.158,0,1.86465159502419,0.00761502965219216,0.0761502965219216,0.076979551408832,0.0772769157402132,0.918200408997955,0.285318819003731,0.489,489,1000,5.2518,2.78040529541781,0.92425,20260709,1000
90,1,0.3,7,Inf,0.75,0,0.3,0,"poisson",8,0.2,0.3,0.1,"model_8",0.405660377358491,0.02384600929786,0.172,0,1.56370795368901,0.00274319795578355,0.0274319795578355,0.058859890879584,0.0588544045085399,0.957547169811321,0.233474361171952,0.424,424,1000,5.22965555555556,2.76190049770794,0.924588888888889,20260709,1000
120,1,0.3,7,Inf,0.75,0,0.3,0,"poisson",8,0.2,0.3,0.1,"model_8",0.550239234449761,0.0243320342987305,0.23,0,1.40110328714786,0.00393489680163743,0.0393489680163743,0.0509475089631022,0.0510384403814675,0.952153110047847,0.198152570002541,0.418,418,1000,5.24814166666667,2.77432080815691,0.923291666666667,20260709,1000
150,1,0.3,7,Inf,0.75,0,0.3,0,"poisson",8,0.2,0.3,0.1,"model_8",0.64054054054054,0.0249457983498155,0.237,0,1.32191854483152,0.00480169356524267,0.0480169356524267,0.0462795919358645,0.0464657749369786,0.943243243243243,0.177924346506934,0.37,370,1000,5.26501333333333,2.77988493567027,0.922906666666667,20260709,1000
20,2,0.3,7,Inf,0.75,0,0.3,0,"poisson",8,0.2,0.3,0.1,"model_8",0.239478957915832,0.0135090256561951,0.239,0.00416666666666667,2.02709470530537,-0.00219707648652338,-0.0219707648652338,0.0863103471360445,0.0862950680108644,0.945891783567134,0.330054684065002,0.998,998,1000,10.5171,4.44301877558351,0.44865,20260709,1000
40,2,0.3,7,Inf,0.75,0,0.3,0,"poisson",8,0.2,0.3,0.1,"model_8",0.472,0.0157865765763195,0.472,0.00211416490486258,1.48507099932883,0.00225103722804633,0.0225103722804633,0.0575050956105081,0.0575203994575365,0.952,0.220886534252097,1,1000,1000,10.5287,4.48749202781524,0.451575,20260709,1000
60,2,0.3,7,Inf,0.75,0,0.3,0,"poisson",8,0.2,0.3,0.1,"model_8",0.582,0.0155973074599432,0.582,0,1.27220844647583,-0.00156355875825501,-0.0156355875825501,0.0452005850122068,0.04520502746986,0.951,0.178899629828744,1,1000,1000,10.49505,4.49596536172058,0.452683333333333,20260709,1000
90,2,0.3,7,Inf,0.75,0,0.3,0,"poisson",8,0.2,0.3,0.1,"model_8",0.796,0.0127429980773757,0.796,0,1.1407529238755,0.00153095545756171,0.0153095545756171,0.036325544979146,0.0363396408544026,0.954,0.14480981274846,1,1000,1000,10.4927111111111,4.5011039145516,0.452677777777778,20260709,1000
120,2,0.3,7,Inf,0.75,0,0.3,0,"poisson",8,0.2,0.3,0.1,"model_8",0.886,0.0100500746265886,0.886,0,1.06823412456811,0.00034087968308083,0.0034087968308083,0.0310112691524127,0.030997634015958,0.959,0.123952451094518,1,1000,1000,10.484675,4.48199080160401,0.454066666666667,20260709,1000
150,2,0.3,7,Inf,0.75,0,0.3,0,"poisson",8,0.2,0.3,0.1,"model_8",0.923,0.00843036179532053,0.923,0,1.03922301767018,-0.000646962902743312,-0.00646962902743312,0.0290333576032221,0.0290260482818517,0.948,0.110602518577462,1,1000,1000,10.48782,4.49497830739767,0.45384,20260709,1000
20,4,0.3,7,Inf,0.75,0,0.3,0,"poisson",8,0.2,0.3,0.1,"model_8",0.468,0.0157789733506334,0.468,0,1.4525393073663,0.000751497983510721,0.00751497983510721,0.0574188021303041,0.0573950056055416,0.946,0.218011267978338,1,1000,1000,21.0653,7.7145427822721,0.0448,20260709,1000
40,4,0.3,7,Inf,0.75,0,0.3,0,"poisson",8,0.2,0.3,0.1,"model_8",0.75,0.0136930639376292,0.75,0,1.14646356509465,-0.000492583730861029,-0.00492583730861029,0.0371800017821466,0.0371646716482173,0.951,0.148417833181418,1,1000,1000,20.98705,7.7027571666749,0.0455,20260709,1000
60,4,0.3,7,Inf,0.75,0,0.3,0,"poisson",8,0.2,0.3,0.1,"model_8",0.892,0.00981509042240569,0.892,0,1.06800919478543,0.000413421076050607,0.00413421076050607,0.0312993607894613,0.0312864388006875,0.945,0.119652313981801,1,1000,1000,20.9863,7.78861441002341,0.0468333333333333,20260709,1000
90,4,0.3,7,Inf,0.75,0,0.3,0,"poisson",8,0.2,0.3,0.1,"model_8",0.985,0.00384382621875652,0.985,0,1.0121834735032,0.000300722437427611,0.00300722437427611,0.0248270560490855,0.0248164615394045,0.951,0.0964101457179999,1,1000,1000,21.0248555555556,7.77619844238753,0.0464222222222222,20260709,1000
120,4,0.3,7,Inf,0.75,0,0.3,0,"poisson",8,0.2,0.3,0.1,"model_8",0.997,0.00172945077987204,0.997,0,0.992307684291579,-0.000942007875049722,-0.00942007875049722,0.0210376533523726,0.0210482221233214,0.955,0.083048616914406,1,1000,1000,21.0098,7.78034943168685,0.0457666666666667,20260709,1000
150,4,0.3,7,Inf,0.75,0,0.3,0,"poisson",8,0.2,0.3,0.1,"model_8",1,0,1,0,1.00648668335427,0.000648668335426775,0.00648668335426775,0.0192825173367117,0.0192837867125503,0.943,0.0743447479750614,1,1000,1000,21.0040466666667,7.77265587679073,0.04704,20260709,1000
20,1,0.9,7,Inf,0.75,0,0.3,0,"poisson",8,0.2,0.3,0.1,"model_8",0.129912663755459,0.0111086026084306,0.119,0.00833333333333333,3.1214262135808,-0.000653740219773338,-0.00653740219773338,0.155619174168973,0.155535579900525,0.939956331877729,0.565520072243197,0.916,916,1000,5.26175,5.10735701443111,0.83065,20260709,1000
40,1,0.9,7,Inf,0.75,0,0.3,0,"poisson",8,0.2,0.3,0.1,"model_8",0.233766233766234,0.013923087343171,0.216,0.00460829493087558,2.14256425959233,0.00371819113992182,0.0371819113992182,0.0958709812460029,0.0958912027014323,0.937229437229437,0.355654329010696,0.924,924,1000,5.248875,5.10917591329808,0.828425,20260709,1000
60,1,0.9,7,Inf,0.75,0,0.3,0,"poisson",8,0.2,0.3,0.1,"model_8",0.337552742616034,0.0153582702390155,0.32,0.00311526479750779,1.78643021746466,0.00384384573124509,0.0384384573124509,0.0742272290207746,0.0742875815850943,0.95464135021097,0.284098641474516,0.948,948,1000,5.22943333333333,5.16208339940916,0.8321,20260709,1000
90,1,0.9,7,Inf,0.75,0,0.3,0,"poisson",8,0.2,0.3,0.1,"model_8",0.420560747663551,0.0159076189870189,0.405,0,1.45327795208589,-0.00250357823427819,-0.0250357823427819,0.0551401440823175,0.0551683436357372,0.954309449636552,0.224195125779493,0.963,963,1000,5.26937777777778,5.20756078100521,0.830211111111111,20260709,1000
120,1,0.9,7,Inf,0.75,0,0.3,0,"poisson",8,0.2,0.3,0.1,"model_8",0.561991869918699,0.0158164332591338,0.553,0,1.35778802018313,0.00169228312556127,0.0169228312556127,0.0502762134831336,0.0502791474267594,0.952235772357724,0.194977325499214,0.984,984,1000,5.24555,5.23122384448408,0.83235,20260709,1000
150,1,0.9,7,Inf,0.75,0,0.3,0,"poisson",8,0.2,0.3,0.1,"model_8",0.626016260162602,0.0154248737386167,0.616,0,1.26080959429176,0.000483832566472969,0.00483832566472969,0.0434394163796456,0.043420033668947,0.946138211382114,0.173186905851346,0.984,984,1000,5.25627333333333,5.22898819394905,0.83124,20260709,1000
20,2,0.9,7,Inf,0.75,0,0.3,0,"poisson",8,0.2,0.3,0.1,"model_8",0.229376257545272,0.0133352828478284,0.228,0,2.02299477847802,0.000512110046414813,0.00512110046414813,0.0912868468632115,0.0912423535260744,0.950704225352113,0.351350418584312,0.994,994,1000,10.58615,9.69101266731444,0.5766,20260709,1000
40,2,0.9,7,Inf,0.75,0,0.3,0,"poisson",8,0.2,0.3,0.1,"model_8",0.45,0.0157321327225523,0.45,0,1.50098945115903,0.00321620122556163,0.0321620122556163,0.0588445432210125,0.0589029841090078,0.955,0.228319070656974,1,1000,1000,10.607725,9.84800976320843,0.5739,20260709,1000
60,2,0.9,7,Inf,0.75,0,0.3,0,"poisson",8,0.2,0.3,0.1,"model_8",0.606,0.0154519901630826,0.606,0,1.29905498700283,0.00157239200977208,0.0157239200977208,0.0471210493513498,0.0471237234873558,0.956,0.180680157802425,1,1000,1000,10.4887,9.835174585789,0.579633333333333,20260709,1000
90,2,0.9,7,Inf,0.75,0,0.3,0,"poisson",8,0.2,0.3,0.1,"model_8",0.758,0.0135438546950268,0.758,0,1.14696054623885,-0.000660335182798025,-0.00660335182798025,0.0381026697767945,0.0380893380518613,0.937,0.145494761883636,1,1000,1000,10.4804333333333,9.8132713841834,0.579377777777778,20260709,1000
120,2,0.9,7,Inf,0.75,0,0.3,0,"poisson",8,0.2,0.3,0.1,"model_8",0.862,0.0109066951914867,0.862,0,1.08231050482101,-5.82605397611152e-05,-0.000582605397611152,0.0334655024605639,0.0334488162626656,0.945,0.125174570451528,1,1000,1000,10.4695,9.8824722616808,0.58115,20260709,1000
150,2,0.9,7,Inf,0.75,0,0.3,0,"poisson",8,0.2,0.3,0.1,"model_8",0.952,0.00675988165576884,0.952,0,1.04911887949651,0.00207830522118975,0.0207830522118975,0.0277429249401389,0.0278068259055645,0.959,0.110467412350517,1,1000,1000,10.5198466666667,9.92622526265801,0.579306666666667,20260709,1000
20,4,0.9,7,Inf,0.75,0,0.3,0,"poisson",8,0.2,0.3,0.1,"model_8",0.424,0.0156276677722557,0.424,0.00235294117647059,1.47554054418675,-0.00129017332360731,-0.0129017332360731,0.0614993592353259,0.0614821401902558,0.951,0.234140155127895,1,1000,1000,20.98205,18.5074049458379,0.33125,20260709,1000
40,4,0.9,7,Inf,0.75,0,0.3,0,"poisson",8,0.2,0.3,0.1,"model_8",0.748,0.013729384545565,0.748,0,1.17687781735536,0.00205837043232182,0.0205837043232182,0.0400236674004512,0.0400565718336756,0.941,0.153546039078127,1,1000,1000,20.98825,19.0083498915479,0.331425,20260709,1000
