"N","lambda_bar","cv","D","cap","compliance","decay","phi","trigger_link","trigger_mode","model","beta1","beta_l2","beta_cross","grid","power","mcse_power","power_all","type_s","type_m","bias","rel_bias","emp_se","rmse","coverage","ci_width","conv_rate","R_converged","R_total","mean_n","sd_n","below_k","master_seed","R_requested"
120,2,0.3,7,Inf,0.75,0,0.3,0,"poisson",7,0.2,0.3,0.1,"model_7",0.604,0.0154655746740947,0.604,0,1.29356056868507,0.000777691757776672,0.00777691757776672,0.0455575663493211,0.0455414225106247,0.943,0.175734971020704,1,1000,1000,10.4866583333333,4.5052094371468,0.454883333333333,20260709,1000
150,2,0.3,7,Inf,0.75,0,0.3,0,"poisson",7,0.2,0.3,0.1,"model_7",0.706,0.0144070815920505,0.706,0,1.20385908179833,0.00114112950199424,0.0114112950199424,0.0407687299876206,0.0407643156694557,0.938,0.156274882951908,1,1000,1000,10.46806,4.49071230231973,0.455653333333333,20260709,1000
20,4,0.3,7,Inf,0.75,0,0.3,0,"poisson",7,0.2,0.3,0.1,"model_7",0.231707317073171,0.013450414668855,0.228,0.00869565217391304,2.15544415141143,0.00417449342225389,0.0417449342225389,0.0951615354242725,0.0952047333611565,0.931910569105691,0.364439511273507,0.984,984,1000,21.03675,7.69800195970087,0.04665,20260709,1000
40,4,0.3,7,Inf,0.75,0,0.3,0,"poisson",7,0.2,0.3,0.1,"model_7",0.378378378378378,0.015344172339325,0.378,0,1.6444693706729,0.00180348058379184,0.0180348058379184,0.0654215278477863,0.0654136422131368,0.940940940940941,0.250910755135896,0.999,999,1000,20.981075,7.66784184435263,0.043875,20260709,1000
60,4,0.3,7,Inf,0.75,0,0.3,0,"poisson",7,0.2,0.3,0.1,"model_7",0.502,0.0158112618092295,0.502,0,1.39175111866275,-5.53443136510345e-05,-0.000553443136510345,0.0520277232040424,0.0520017322866048,0.947,0.201266433895618,1,1000,1000,20.9849833333333,7.73190947829478,0.0457,20260709,1000
90,4,0.3,7,Inf,0.75,0,0.3,0,"poisson",7,0.2,0.3,0.1,"model_7",0.669,0.0148808265899445,0.669,0.00149253731343284,1.21448623340671,-0.0010137426742259,-0.010137426742259,0.0424996444282951,0.0424904840048278,0.947,0.162889486840756,1,1000,1000,21.0370222222222,7.73585597151077,0.0455888888888889,20260709,1000
120,4,0.3,7,Inf,0.75,0,0.3,0,"poisson",7,0.2,0.3,0.1,"model_7",0.789,0.0129026741414329,0.789,0,1.13189901045581,-0.000276756326412345,-0.00276756326412345,0.0371010324671841,0.0370835100494158,0.932,0.140915628151761,1,1000,1000,20.9562583333333,7.75967565565744,0.0481166666666667,20260709,1000
150,4,0.3,7,Inf,0.75,0,0.3,0,"poisson",7,0.2,0.3,0.1,"model_7",0.879,0.0103130499853341,0.879,0,1.08105583844809,0.00050704568604179,0.0050704568604179,0.0325456041437317,0.0325332787781856,0.94,0.125570585599823,1,1000,1000,20.97652,7.77113754907727,0.0461466666666667,20260709,1000
20,1,0.9,7,Inf,0.75,0,0.3,0,"poisson",7,0.2,0.3,0.1,"model_7",0.0892857142857143,0.0127018445971851,0.045,0.0217391304347826,4.04931779920427,-0.00818628909737634,-0.0818628909737634,0.199266191318441,0.199236659708543,0.944444444444444,0.786276679341676,0.504,504,1000,5.26335,5.07240717075894,0.83095,20260709,1000
40,1,0.9,7,Inf,0.75,0,0.3,0,"poisson",7,0.2,0.3,0.1,"model_7",0.148631029986962,0.0128444635424091,0.114,0.0420168067226891,2.68549047672239,-0.00863276679606448,-0.0863276679606448,0.127820596838152,0.128028623082293,0.93089960886571,0.480271902380269,0.767,767,1000,5.221675,5.13586835458884,0.8315,20260709,1000
