"N","lambda_bar","D","cv","cap","compliance","decay","phi","trigger_link","trigger_mode","model","beta1","beta_l2","beta_cross","grid","power","mcse_power","power_all","type_s","type_m","bias","rel_bias","emp_se","rmse","coverage","ci_width","conv_rate","R_converged","R_total","mean_n","sd_n","below_k","master_seed","R_requested"
20,1,3,0,Inf,0.75,0,0.3,0,"fixed",6,0.2,0.3,0.1,"fixed_6",0.0760869565217391,0.0138212316557163,0.028,0.3,11.5727905154167,0.0375499270051084,0.375499270051084,0.575300441771205,0.575744056586268,0.902173913043478,2.02524980431798,0.368,368,1000,2.2514,0.741748613113444,1,20260709,1000
40,1,3,0,Inf,0.75,0,0.3,0,"fixed",6,0.2,0.3,0.1,"fixed_6",0.048689138576779,0.0131710877271192,0.013,0.133333333333333,7.85602139683322,0.0310859332053494,0.310859332053494,0.331238397439121,0.332075712845229,0.951310861423221,1.33063823827877,0.267,267,1000,2.24835,0.746041033012668,1,20260709,1000
60,1,3,0,Inf,0.75,0,0.3,0,"fixed",6,0.2,0.3,0.1,"fixed_6",0.0607476635514019,0.016328603554483,0.013,0,6.76999765743465,-0.0239092784876533,-0.239092784876533,0.279813063502201,0.280180545328231,0.948598130841122,1.08766460282584,0.214,214,1000,2.24938333333333,0.748108653071883,1,20260709,1000
90,1,3,0,Inf,0.75,0,0.3,0,"fixed",6,0.2,0.3,0.1,"fixed_6",0.0699300699300699,0.0213266069168289,0.01,0.0909090909090909,5.90211029170423,0.0271299616878299,0.271299616878299,0.226734461223369,0.227563289254225,0.944055944055944,0.870381922094398,0.143,143,1000,2.24877777777778,0.74764744794044,1,20260709,1000
120,1,3,0,Inf,0.75,0,0.3,0,"fixed",6,0.2,0.3,0.1,"fixed_6",0.0806451612903226,0.0244523102758998,0.01,0,4.62498659280201,-0.00393073441850199,-0.0393073441850199,0.197590689433316,0.196831592320668,0.935483870967742,0.758038337775233,0.124,124,1000,2.24889166666667,0.748002613805329,1,20260709,1000
150,1,3,0,Inf,0.75,0,0.3,0,"fixed",6,0.2,0.3,0.1,"fixed_6",0.0987654320987654,0.0331496460180921,0.008,0.2,4.25131667809516,0.0129285376636396,0.129285376636396,0.182902242276885,0.182228906800452,0.925925925925926,0.67719159237858,0.081,81,1000,2.25224,0.748182700408379,1,20260709,1000
20,2,3,0,Inf,0.75,0,0.3,0,"fixed",6,0.2,0.3,0.1,"fixed_6",0.0710382513661202,0.013427788880979,0.026,0.235294117647059,6.35661005439061,0.0176148272768335,0.176148272768335,0.296201646774535,0.296320744197563,0.918032786885246,1.07836652947906,0.366,366,1000,4.50715,1.05068095375298,1,20260709,1000
40,2,3,0,Inf,0.75,0,0.3,0,"fixed",6,0.2,0.3,0.1,"fixed_6",0.12962962962963,0.0263904430830878,0.021,0.0454545454545455,4.5503658763722,0.00463701159936393,0.0463701159936393,0.227064144103464,0.226409733403468,0.901234567901235,0.752988638416517,0.162,162,1000,4.492475,1.05637301671824,1,20260709,1000
60,2,3,0,Inf,0.75,0,0.3,0,"fixed",6,0.2,0.3,0.1,"fixed_6",0.0967741935483871,0.0375475932417663,0.006,0,3.4654815779406,-0.0231671218237629,-0.231671218237629,0.151131691813769,0.151687520888419,0.935483870967742,0.62385772322095,0.062,62,1000,4.49993333333333,1.06039531127077,1,20260709,1000
90,2,3,0,Inf,0.75,0,0.3,0,"fixed",6,0.2,0.3,0.1,"fixed_6",0.153846153846154,0.0707589393082923,0.004,0,3.19859841722836,-0.0232327066742175,-0.232327066742175,0.145735154416358,0.144781281456343,1,0.510279975307521,0.026,26,1000,4.49435555555556,1.05798889531906,1,20260709,1000
