"N","lambda_bar","cv","D","cap","compliance","decay","phi","trigger_link","trigger_mode","model","beta1","beta_l2","beta_cross","grid","power","mcse_power","power_all","type_s","type_m","bias","rel_bias","emp_se","rmse","coverage","ci_width","conv_rate","R_converged","R_total","mean_n","sd_n","below_k","master_seed","R_requested"
20,1,0.3,7,Inf,0.75,0,0.3,0,"poisson",6,0.2,0.3,0.1,"model_6",0.0830945558739255,0.0104477037590436,0.058,0.107692307692308,5.81246310610008,0.00071347503210395,0.0071347503210395,0.264556073039831,0.264367457799235,0.938395415472779,0.966400623848089,0.698,698,1000,5.25275,2.72852103686579,0.9227,20260709,1000
40,1,0.3,7,Inf,0.75,0,0.3,0,"poisson",6,0.2,0.3,0.1,"model_6",0.102076124567474,0.0125926730331158,0.059,0.0634920634920635,4.33421045480701,0.00333868399969031,0.0333868399969031,0.184581147014504,0.184451624177261,0.934256055363322,0.681231330213027,0.578,578,1000,5.251975,2.76269451363486,0.923425,20260709,1000
60,1,0.3,7,Inf,0.75,0,0.3,0,"poisson",6,0.2,0.3,0.1,"model_6",0.118829981718464,0.0138356385564796,0.065,0.0441176470588235,3.32322773743119,0.00149283231898788,0.0149283231898788,0.143349445029719,0.143226132724334,0.956124314442413,0.553458461705687,0.547,547,1000,5.2506,2.78045100160953,0.92385,20260709,1000
90,1,0.3,7,Inf,0.75,0,0.3,0,"poisson",6,0.2,0.3,0.1,"model_6",0.169851380042463,0.0173022272378101,0.08,0.0123456790123457,2.90075294889653,0.00780111565339296,0.0780111565339296,0.121872692349239,0.121992932637642,0.929936305732484,0.454356736301255,0.471,471,1000,5.24412222222222,2.76514895106755,0.925066666666667,20260709,1000
120,1,0.3,7,Inf,0.75,0,0.3,0,"poisson",6,0.2,0.3,0.1,"model_6",0.180995475113122,0.018313269000838,0.08,0.0123456790123457,2.50919791291136,0.00476741564301823,0.0476741564301823,0.100846786069492,0.100845393026529,0.95475113122172,0.392596122881987,0.442,442,1000,5.26393333333333,2.77355269533277,0.923291666666667,20260709,1000
150,1,0.3,7,Inf,0.75,0,0.3,0,"poisson",6,0.2,0.3,0.1,"model_6",0.215827338129496,0.0201461029337761,0.09,0.010989010989011,2.38842559621309,0.0130636314191604,0.130636314191604,0.0904087873266286,0.0912403747011051,0.940047961630695,0.355440013571119,0.417,417,1000,5.23073333333333,2.77246287077071,0.924566666666667,20260709,1000
20,2,0.3,7,Inf,0.75,0,0.3,0,"poisson",6,0.2,0.3,0.1,"model_6",0.10140562248996,0.009564960853128,0.101,0.0380952380952381,3.71778052834346,0.00857016005602572,0.0857016005602572,0.157054774649886,0.157209683608927,0.953815261044177,0.614170731183555,0.996,996,1000,10.46975,4.50312985372741,0.45795,20260709,1000
40,2,0.3,7,Inf,0.75,0,0.3,0,"poisson",6,0.2,0.3,0.1,"model_6",0.156156156156156,0.0114849168201191,0.156,0,2.64950313320315,0.00655922154795083,0.0655922154795083,0.10673467456263,0.106882694796011,0.955955955955956,0.4276150669272,0.999,999,1000,10.524175,4.49169888688656,0.450175,20260709,1000
60,2,0.3,7,Inf,0.75,0,0.3,0,"poisson",6,0.2,0.3,0.1,"model_6",0.214,0.0129693484801666,0.214,0.00465116279069767,2.19544571349295,-0.000545900691972828,-0.00545900691972828,0.0906145433727596,0.0905708699458528,0.945,0.348154290979402,1,1000,1000,10.5039666666667,4.51333470310942,0.450516666666667,20260709,1000
90,2,0.3,7,Inf,0.75,0,0.3,0,"poisson",6,0.2,0.3,0.1,"model_6",0.299,0.0144775343204566,0.299,0.00333333333333333,1.89367382567959,0.00174379012225005,0.0174379012225005,0.075002462881302,0.0749852310312723,0.943,0.283077545000385,1,1000,1000,10.5209555555556,4.5094295295981,0.4514,20260709,1000
120,2,0.3,7,Inf,0.75,0,0.3,0,"poisson",6,0.2,0.3,0.1,"model_6",0.345,0.0150324648677454,0.345,0,1.66602957411595,0.000152794852118734,0.00152794852118734,0.062054952437058,0.0620241054035477,0.947,0.245365614256216,1,1000,1000,10.5057666666667,4.50366860456158,0.452041666666667,20260709,1000
150,2,0.3,7,Inf,0.75,0,0.3,0,"poisson",6,0.2,0.3,0.1,"model_6",0.436,0.0156813264745046,0.436,0.0022883295194508,1.50914256957256,0.000365462093673025,0.00365462093673025,0.0559197156243195,0.0558929435926501,0.955,0.219231744724109,1,1000,1000,10.50496,4.52166518523962,0.452986666666667,20260709,1000
20,4,0.3,7,Inf,0.75,0,0.3,0,"poisson",6,0.2,0.3,0.1,"model_6",0.17,0.0118785521003193,0.17,0.0229885057471264,2.60370326648726,0.00342539959958438,0.0342539959958438,0.104756478490571,0.104760103228169,0.95,0.406134171717473,1,1000,1000,20.95725,7.68370632285665,0.04735,20260709,1000
40,4,0.3,7,Inf,0.75,0,0.3,0,"poisson",6,0.2,0.3,0.1,"model_6",0.245,0.0136005514594078,0.245,0,1.86653855010578,-0.00535049646713202,-0.0535049646713202,0.0708654791262231,0.0710318381298285,0.959,0.285950784695647,1,1000,1000,21.05235,7.75154394727946,0.0461,20260709,1000
60,4,0.3,7,Inf,0.75,0,0.3,0,"poisson",6,0.2,0.3,0.1,"model_6",0.385,0.0153874949228261,0.385,0.00516795865633075,1.6007386955206,0.000514096078861187,0.00514096078861187,0.0613927949340227,0.0613642443880755,0.943,0.233032317854592,1,1000,1000,21.004,7.71506879052524,0.04605,20260709,1000
90,4,0.3,7,Inf,0.75,0,0.3,0,"poisson",6,0.2,0.3,0.1,"model_6",0.553,0.0157223089907303,0.553,0,1.34893441252543,0.000652249476343347,0.00652249476343347,0.0481882682002922,0.0481685842882115,0.941,0.189997586537311,1,1000,1000,21.0100444444444,7.78749946033016,0.0471333333333333,20260709,1000
120,4,0.3,7,Inf,0.75,0,0.3,0,"poisson",6,0.2,0.3,0.1,"model_6",0.663,0.0149476085043729,0.663,0,1.23599702953593,-0.000261744121999918,-0.00261744121999918,0.0429744035614361,0.0429537084788393,0.95,0.164268036530169,1,1000,1000,21.0241,7.79387057310771,0.0466083333333333,20260709,1000
150,4,0.3,7,Inf,0.75,0,0.3,0,"poisson",6,0.2,0.3,0.1,"model_6",0.759,0.0135247550809617,0.759,0,1.14876536241678,-0.000590635017060567,-0.00590635017060567,0.0379407202837373,0.037926344499787,0.956,0.146867376311631,1,1000,1000,21.02022,7.7918175210623,0.04664,20260709,1000
20,1,0.9,7,Inf,0.75,0,0.3,0,"poisson",6,0.2,0.3,0.1,"model_6",0.0711060948081264,0.00863415040106169,0.063,0.0735294117647059,6.19991551817757,0.0042501560498704,0.042501560498704,0.270558530578058,0.270439201336518,0.952595936794582,1.01090681904975,0.886,886,1000,5.27095,5.08943755897799,0.83235,20260709,1000
40,1,0.9,7,Inf,0.75,0,0.3,0,"poisson",6,0.2,0.3,0.1,"model_6",0.0844155844155844,0.0091458595133209,0.078,0.0714285714285714,3.96931315544741,-0.000609848737399027,-0.00609848737399027,0.171073885189822,0.170982375268632,0.954545454545455,0.665344304866356,0.924,924,1000,5.279375,5.17323681720497,0.8308,20260709,1000
60,1,0.9,7,Inf,0.75,0,0.3,0,"poisson",6,0.2,0.3,0.1,"model_6",0.107291666666667,0.00998854369445293,0.103,0.019047619047619,3.27768377097297,0.00245064530346042,0.0245064530346042,0.136863283710383,0.136813932223158,0.952083333333333,0.541930783457158,0.96,960,1000,5.28166666666667,5.18241284837255,0.829266666666667,20260709,1000
90,1,0.9,7,Inf,0.75,0,0.3,0,"poisson",6,0.2,0.3,0.1,"model_6",0.143004115226337,0.0112287264912774,0.139,0.0141843971631206,2.71123669969597,0.0047104163942641,0.047104163942641,0.108898077731435,0.108943925730637,0.963991769547325,0.438280565323533,0.972,972,1000,5.26675555555556,5.23686378485989,0.831444444444444,20260709,1000
120,1,0.9,7,Inf,0.75,0,0.3,0,"poisson",6,0.2,0.3,0.1,"model_6",0.202634245187437,0.012794597702133,0.2,0.00497512437810945,2.38904317502937,0.00516965026013998,0.0516965026013998,0.0970469420079011,0.0971354316400718,0.950354609929078,0.378915401083361,0.987,987,1000,5.22945,5.18894788455235,0.83225,20260709,1000
150,1,0.9,7,Inf,0.75,0,0.3,0,"poisson",6,0.2,0.3,0.1,"model_6",0.212550607287449,0.0130155950771268,0.21,0.00943396226415094,2.17511640365985,-0.00242010142874613,-0.0242010142874613,0.0890244484561978,0.0890122896126795,0.945344129554656,0.337805914583604,0.988,988,1000,5.23498666666667,5.20297858154133,0.83192,20260709,1000
20,2,0.9,7,Inf,0.75,0,0.3,0,"poisson",6,0.2,0.3,0.1,"model_6",0.0952858575727182,0.00929870208689645,0.095,0.0404040404040404,3.84702416690352,-7.56458761910356e-05,-0.000756458761910356,0.166755946120672,0.1666723134467,0.949849548645938,0.639033568627566,0.997,997,1000,10.43535,9.63323418200213,0.58455,20260709,1000
40,2,0.9,7,Inf,0.75,0,0.3,0,"poisson",6,0.2,0.3,0.1,"model_6",0.155,0.0114444309600784,0.155,0.00641025641025641,2.65755265545421,-0.00224982976039567,-0.0224982976039567,0.112002046763939,0.111968637371288,0.945,0.434274195879509,1,1000,1000,10.475325,9.82632288984979,0.585725,20260709,1000
60,2,0.9,7,Inf,0.75,0,0.3,0,"poisson",6,0.2,0.3,0.1,"model_6",0.202,0.0126962986732354,0.202,0,2.18978933417717,0.00365765046881783,0.0365765046881783,0.0862915122622194,0.086325878335319,0.952,0.350268202209973,1,1000,1000,10.4797,9.88562793245983,0.58205,20260709,1000
