"N","lambda_bar","D","cv","cap","compliance","decay","phi","trigger_link","trigger_mode","model","beta1","beta_l2","beta_cross","grid","power","mcse_power","power_all","type_s","type_m","bias","rel_bias","emp_se","rmse","coverage","ci_width","conv_rate","R_converged","R_total","mean_n","sd_n","below_k","master_seed","R_requested"
20,5,3,0,Inf,0.75,0,0.3,0,"fixed",3,0.2,0.3,0.1,"fixed_3",0.488888888888889,0.0166625509321511,0.44,0,1.40240586850035,0.00052303384237054,0.0026151692118527,0.101998527050391,0.101943187210896,0.955555555555556,0.407120105893851,0.9,900,1000,11.2537,1.6665077771498,0.1483,20260709,1000
40,5,3,0,Inf,0.75,0,0.3,0,"fixed",3,0.2,0.3,0.1,"fixed_3",0.78855975485189,0.0130502786604439,0.772,0,1.12967055706318,-0.000128678758932188,-0.00064339379466094,0.0721637948454596,0.0721270443435428,0.93973442288049,0.282111993352028,0.979,979,1000,11.248125,1.6596832604922,0.14865,20260709,1000
60,5,3,0,Inf,0.75,0,0.3,0,"fixed",3,0.2,0.3,0.1,"fixed_3",0.914658634538153,0.00885277942893781,0.911,0,1.0447887913947,-0.00145309382702033,-0.00726546913510165,0.0601248763300699,0.060112250968894,0.939759036144578,0.230357753857511,0.996,996,1000,11.2431666666667,1.66842871014227,0.149016666666667,20260709,1000
90,5,3,0,Inf,0.75,0,0.3,0,"fixed",3,0.2,0.3,0.1,"fixed_3",0.978978978978979,0.00453869336193672,0.978,0,1.00613018154486,-0.00130116567339972,-0.00650582836699859,0.0487049350830782,0.0486979382346913,0.940940940940941,0.189469438896195,0.999,999,1000,11.2416444444444,1.66966299465531,0.148033333333333,20260709,1000
120,5,3,0,Inf,0.75,0,0.3,0,"fixed",3,0.2,0.3,0.1,"fixed_3",0.997,0.00172945077987204,0.997,0,1.01464582709646,0.00250250173332611,0.0125125086666306,0.0428007796324054,0.0428525068733428,0.937,0.163182993556889,1,1000,1000,11.253775,1.67202345022545,0.146741666666667,20260709,1000
150,5,3,0,Inf,0.75,0,0.3,0,"fixed",3,0.2,0.3,0.1,"fixed_3",1,0,1,0,1.00727575910358,0.00145515182071515,0.00727575910357575,0.0379877038207024,0.0379965793558995,0.948,0.146722022027745,1,1000,1000,11.24942,1.67703946642278,0.14844,20260709,1000
20,8,3,0,Inf,0.75,0,0.3,0,"fixed",3,0.2,0.3,0.1,"fixed_3",0.613168724279835,0.015621317338687,0.596,0,1.24297294140146,-0.00200635390405321,-0.010031769520266,0.0860799207117338,0.0860590204645002,0.944444444444444,0.344864939476882,0.972,972,1000,17.9672,2.08531340537847,0.000150000000000001,20260709,1000
40,8,3,0,Inf,0.75,0,0.3,0,"fixed",3,0.2,0.3,0.1,"fixed_3",0.88376753507014,0.0101453603039805,0.882,0,1.07524739803995,0.000803104269491456,0.00401552134745728,0.0641182045365748,0.0640911050500994,0.933867735470942,0.243186799351432,0.998,998,1000,17.99615,2.09886582049031,0.000125,20260709,1000
60,8,3,0,Inf,0.75,0,0.3,0,"fixed",3,0.2,0.3,0.1,"fixed_3",0.977,0.00474035863622153,0.977,0,1.01167683506827,-0.000330226522044619,-0.00165113261022309,0.0500217444827206,0.0499978179096784,0.959,0.199251285962679,1,1000,1000,18.00945,2.1161615122937,8.33333333333339e-05,20260709,1000
90,8,3,0,Inf,0.75,0,0.3,0,"fixed",3,0.2,0.3,0.1,"fixed_3",0.996,0.00199599599197994,0.996,0,1.00887756154569,0.00128503725936477,0.00642518629682384,0.0412882512785316,0.0412876046132914,0.952,0.163582208252136,1,1000,1000,17.9889555555556,2.12054900247965,1e-04,20260709,1000
120,8,3,0,Inf,0.75,0,0.3,0,"fixed",3,0.2,0.3,0.1,"fixed_3",1,0,1,0,1.00294916061323,0.000589832122646294,0.00294916061323147,0.0354679259246549,0.0354550940988783,0.948,0.142052969111795,1,1000,1000,17.997775,2.12371319968327,0.000125,20260709,1000
150,8,3,0,Inf,0.75,0,0.3,0,"fixed",3,0.2,0.3,0.1,"fixed_3",1,0,1,0,0.994090710157759,-0.00118185796844827,-0.00590928984224137,0.0320898569678663,0.0320955752332854,0.945,0.126529255534457,1,1000,1000,18.0011733333333,2.12265555642442,0.000106666666666666,20260709,1000
20,1,7,0,Inf,0.75,0,0.3,0,"fixed",3,0.2,0.3,0.1,"fixed_3",0.29080118694362,0.0247381453560124,0.098,0,1.92354680146083,0.0152749538032586,0.0763747690162932,0.15635927134153,0.156872557498483,0.946587537091988,0.624690566828481,0.337,337,1000,5.23825,1.13587961052719,1,20260709,1000
40,1,7,0,Inf,0.75,0,0.3,0,"fixed",3,0.2,0.3,0.1,"fixed_3",0.538461538461538,0.0288300701237737,0.161,0,1.48679274768868,0.0188346392929649,0.0941731964648243,0.107329733998998,0.108792867905741,0.933110367892977,0.423028284503186,0.299,299,1000,5.242925,1.14388250834764,1,20260709,1000
60,1,7,0,Inf,0.75,0,0.3,0,"fixed",3,0.2,0.3,0.1,"fixed_3",0.674074074074074,0.0285253764045185,0.182,0,1.26738330044545,0.00584712147266953,0.0292356073633476,0.091590967777293,0.0916079919438111,0.940740740740741,0.346684606356585,0.27,270,1000,5.25448333333333,1.14088170207348,1,20260709,1000
90,1,7,0,Inf,0.75,0,0.3,0,"fixed",3,0.2,0.3,0.1,"fixed_3",0.793427230046948,0.0277396058160687,0.169,0,1.1422760436026,0.00335564639038013,0.0167782319519007,0.0722650487778628,0.0721732643828223,0.962441314553991,0.284191461457626,0.213,213,1000,5.25485555555556,1.14217492287793,1,20260709,1000
120,1,7,0,Inf,0.75,0,0.3,0,"fixed",3,0.2,0.3,0.1,"fixed_3",0.893048128342246,0.0226001240835476,0.167,0,1.06426983118409,-0.00016604276706525,-0.000830213835326249,0.0608118179508475,0.0606492288390419,0.957219251336898,0.243093979175182,0.187,187,1000,5.24603333333333,1.14649552757603,1,20260709,1000
150,1,7,0,Inf,0.75,0,0.3,0,"fixed",3,0.2,0.3,0.1,"fixed_3",0.935323383084577,0.0173482836606146,0.188,0,1.03660753106781,-0.000744286406247574,-0.00372143203123787,0.0547853367489862,0.0546539530304656,0.955223880597015,0.215697561720257,0.201,201,1000,5.25065333333333,1.14400520085708,1,20260709,1000
20,2,7,0,Inf,0.75,0,0.3,0,"fixed",3,0.2,0.3,0.1,"fixed_3",0.451911935110081,0.0169412979407003,0.39,0,1.47403177163544,-0.000356712665560449,-0.00178356332780225,0.111923671092093,0.111859375369173,0.93279258400927,0.419866878982099,0.863,863,1000,10.5118,1.60373305490338,0.2578,20260709,1000
40,2,7,0,Inf,0.75,0,0.3,0,"fixed",3,0.2,0.3,0.1,"fixed_3",0.782168186423506,0.0131386925805388,0.772,0,1.14707961452665,0.00195237109436547,0.00976185547182734,0.0749673578352625,0.0749548021495639,0.948328267477204,0.290872195508558,0.987,987,1000,10.5063,1.60601228586756,0.2566,20260709,1000
60,2,7,0,Inf,0.75,0,0.3,0,"fixed",3,0.2,0.3,0.1,"fixed_3",0.904426559356137,0.00932528410447274,0.899,0,1.05896401166875,2.44884466376605e-05,0.000122442233188302,0.0619932056715566,0.0619620189586846,0.940643863179074,0.237129942073025,0.994,994,1000,10.5010333333333,1.61949441255743,0.2586,20260709,1000
90,2,7,0,Inf,0.75,0,0.3,0,"fixed",3,0.2,0.3,0.1,"fixed_3",0.979959919839679,0.00443597013171951,0.978,0,1.01827897659084,0.00130118162294707,0.00650590811473534,0.0479827423476293,0.0479763449976831,0.948897795591182,0.193497070834271,0.998,998,1000,10.5007444444444,1.61947999432228,0.260211111111111,20260709,1000
120,2,7,0,Inf,0.75,0,0.3,0,"fixed",3,0.2,0.3,0.1,"fixed_3",0.997,0.00172945077987204,0.997,0,1.00709900481216,0.00106669793705641,0.00533348968528205,0.0445440447704577,0.0445345438629043,0.936,0.167489381993603,1,1000,1000,10.4976,1.61114286129052,0.25915,20260709,1000
150,2,7,0,Inf,0.75,0,0.3,0,"fixed",3,0.2,0.3,0.1,"fixed_3",0.999,0.000999499874937461,0.999,0,1.00591314636703,0.00105453046714751,0.00527265233573757,0.0386800534051251,0.0386750878395647,0.948,0.150700795450938,1,1000,1000,10.4992933333333,1.61753283584378,0.257933333333333,20260709,1000
20,3,7,0,Inf,0.75,0,0.3,0,"fixed",3,0.2,0.3,0.1,"fixed_3",0.571725571725572,0.0159539176023124,0.55,0,1.30013477567501,0.000102617263188443,0.000513086315942213,0.0910483314194999,0.0910010545557546,0.929313929313929,0.359935151376439,0.962,962,1000,15.7711,1.96009913742865,0.00125,20260709,1000
40,3,7,0,Inf,0.75,0,0.3,0,"fixed",3,0.2,0.3,0.1,"fixed_3",0.852,0.0112292475259921,0.852,0,1.07945963092415,-0.00137093625124626,-0.00685468125623132,0.066988037159734,0.0669685686840952,0.939,0.253345452216588,1,1000,1000,15.738975,1.98943458562822,0.002025,20260709,1000
60,3,7,0,Inf,0.75,0,0.3,0,"fixed",3,0.2,0.3,0.1,"fixed_3",0.96,0.00619677335393187,0.96,0,1.02603593356798,0.000366737450924831,0.00183368725462416,0.0511938024733306,0.0511695134100826,0.942,0.206975766118745,1,1000,1000,15.7676333333333,1.97519664092924,0.00186666666666667,20260709,1000
90,3,7,0,Inf,0.75,0,0.3,0,"fixed",3,0.2,0.3,0.1,"fixed_3",0.997,0.00172945077987204,0.997,0,1.01618412689901,0.00282553464936466,0.0141276732468233,0.0441754912932282,0.0442437137119144,0.953,0.169863867181315,1,1000,1000,15.7468222222222,1.97729809569697,0.00151111111111111,20260709,1000
120,3,7,0,Inf,0.75,0,0.3,0,"fixed",3,0.2,0.3,0.1,"fixed_3",1,0,1,0,1.0048990507261,0.000979810145219334,0.00489905072609667,0.0364179518842836,0.0364129232573715,0.963,0.146884828617487,1,1000,1000,15.751275,1.97435018419316,0.00160833333333333,20260709,1000
150,3,7,0,Inf,0.75,0,0.3,0,"fixed",3,0.2,0.3,0.1,"fixed_3",0.999,0.000999499874937461,0.999,0,1.00793463927585,0.00144879656106192,0.00724398280530961,0.0333058947825444,0.033320749633134,0.948,0.131355379460429,1,1000,1000,15.7468066666667,1.97677257378077,0.00154,20260709,1000
20,5,7,0,Inf,0.75,0,0.3,0,"fixed",3,0.2,0.3,0.1,"fixed_3",0.701807228915663,0.0144953199190499,0.699,0,1.20656521221575,0.00415066920206025,0.0207533460103013,0.0797295813890683,0.0797975680569939,0.943775100401606,0.317767651184495,0.996,996,1000,26.23915,2.54943856237694,0,20260709,1000
40,5,7,0,Inf,0.75,0,0.3,0,"fixed",3,0.2,0.3,0.1,"fixed_3",0.928,0.00817410545564467,0.928,0,1.04444201676919,0.000273429085232563,0.00136714542616281,0.0582033318727465,0.058174865506614,0.932,0.224986039261588,1,1000,1000,26.25445,2.55514931340114,0,20260709,1000
60,5,7,0,Inf,0.75,0,0.3,0,"fixed",3,0.2,0.3,0.1,"fixed_3",0.989,0.00329833291224522,0.989,0,1.01155312325684,0.00086434846891767,0.00432174234458835,0.0484390345446221,0.0484225239513927,0.936,0.185199834850306,1,1000,1000,26.2494833333333,2.55521498098201,0,20260709,1000
90,5,7,0,Inf,0.75,0,0.3,0,"fixed",3,0.2,0.3,0.1,"fixed_3",0.998,0.00141279864099595,0.998,0,1.00175480764193,9.78461283851484e-05,0.000489230641925742,0.0379991704383466,0.0379802921383361,0.939,0.150181937656805,1,1000,1000,26.2627333333333,2.55061187261611,0,20260709,1000
120,5,7,0,Inf,0.75,0,0.3,0,"fixed",3,0.2,0.3,0.1,"fixed_3",1,0,1,0,1.00081966403041,0.000163932806082318,0.000819664030411588,0.0323998834892468,0.0323840944235216,0.947,0.130650702251542,1,1000,1000,26.2408166666667,2.56528835399947,0,20260709,1000
