"N","lambda_bar","cv","D","cap","compliance","decay","phi","beta1","trigger_link","grid","power","mcse_power","power_all","type_s","type_m","bias","rel_bias","emp_se","rmse","coverage","ci_width","conv_rate","R_converged","R_total","mean_n","sd_n","below_k","master_seed","R_requested"
90,1,0.9,7,Inf,0.75,0,0.3,0.2,0,"primary",0.764611260053619,0.00982367008109038,0.713,0,1.15365295032764,0.000887222581225866,0.00443611290612933,0.0749155462350464,0.074900713845175,0.946380697050938,0.290565220432532,0.9325,1865,2000,5.25902777777778,5.2123725395522,0.830105555555556,20260709,2000
120,1,0.9,7,Inf,0.75,0,0.3,0.2,0,"primary",0.874485596707819,0.00751406561229806,0.85,0,1.08658278776785,0.00248250044317258,0.0124125022158629,0.0643233709890993,0.0643547241642707,0.948045267489712,0.252219622529273,0.972,1944,2000,5.22962916666667,5.19480797107757,0.8327875,20260709,2000
150,1,0.9,7,Inf,0.75,0,0.3,0.2,0,"primary",0.928137651821862,0.00580983003596425,0.917,0,1.05631157540358,0.00274039817423896,0.0137019908711948,0.0601200770074394,0.0601673024138765,0.928643724696356,0.225024214200455,0.988,1976,2000,5.24581666666667,5.21145675053901,0.83184,20260709,2000
20,2,0.9,7,Inf,0.75,0,0.3,0.2,0,"primary",0.411520190023753,0.0119919639369729,0.3465,0,1.53660156018452,0.00248616102410981,0.0124308051205491,0.119032985850603,0.119023606522877,0.937648456057007,0.473236190547624,0.842,1684,2000,10.498275,9.56470781190185,0.577975,20260709,2000
40,2,0.9,7,Inf,0.75,0,0.3,0.2,0,"primary",0.670801033591731,0.0106828125602974,0.649,0,1.22766691207221,0.00153443430984954,0.00767217154924768,0.0855491969704745,0.0855408518491456,0.940051679586563,0.324068379691284,0.9675,1935,2000,10.488525,9.77327430365264,0.5802625,20260709,2000
60,2,0.9,7,Inf,0.75,0,0.3,0.2,0,"primary",0.814012096774194,0.00873548343865371,0.8075,0,1.09732111300273,-0.00257663508957601,-0.01288317544788,0.0697220648091014,0.0697520980687438,0.9375,0.264560045874259,0.992,1984,2000,10.4733916666667,9.81774519814555,0.582083333333333,20260709,2000
90,2,0.9,7,Inf,0.75,0,0.3,0.2,0,"primary",0.937937937937938,0.00539762128839235,0.937,0,1.03402632652818,-0.00039725107126945,-0.00198625535634725,0.056635575313958,0.056622793996424,0.945945945945946,0.217255765462488,0.999,1998,2000,10.5009888888889,9.89237454826111,0.579744444444444,20260709,2000
120,2,0.9,7,Inf,0.75,0,0.3,0.2,0,"primary",0.985,0.00271799558498538,0.985,0,1.00606139418642,-0.000629357217091675,-0.00314678608545838,0.0486557389533587,0.048647644682323,0.9505,0.187865133532864,1,2000,2000,10.5204333333333,9.90988327673323,0.577908333333333,20260709,2000
150,2,0.9,7,Inf,0.75,0,0.3,0.2,0,"primary",0.994,0.0017268468374468,0.994,0,1.00253182510026,-0.000242364957935587,-0.00121182478967793,0.0433252946612408,0.0433151400514582,0.95,0.168055095158978,1,2000,2000,10.5122633333333,9.94190781670679,0.579926666666667,20260709,2000
20,4,0.9,7,Inf,0.75,0,0.3,0.2,0,"primary",0.563917525773196,0.0112587777874662,0.547,0,1.32826210945935,0.0019488982665016,0.00974449133250802,0.0986471242371811,0.0986409509982151,0.922680412371134,0.372766620791402,0.97,1940,2000,20.9511,18.7374492751954,0.334,20260709,2000
40,4,0.9,7,Inf,0.75,0,0.3,0.2,0,"primary",0.829072681704261,0.00842811770195327,0.827,0,1.11039389417053,0.000959548982519515,0.00479774491259757,0.0709791082569554,0.0709678040591113,0.931829573934837,0.264778667128828,0.9975,1995,2000,20.9697125,18.9562974241739,0.332275,20260709,2000
60,4,0.9,7,Inf,0.75,0,0.3,0.2,0,"primary",0.9435,0.00516273909857936,0.9435,0,1.02432209497072,-0.00193983066228473,-0.00969915331142365,0.0557301681622248,0.055749992471448,0.933,0.215428379463275,1,2000,2000,21.0127916666667,19.1876555155628,0.33275,20260709,2000
90,4,0.9,7,Inf,0.75,0,0.3,0.2,0,"primary",0.996,0.00141138230115019,0.996,0,1.01614215437688,0.00272492601401891,0.0136246300700946,0.0452605762182798,0.0453312333994211,0.9515,0.176855172347041,1,2000,2000,21.0215222222222,19.2912910432362,0.331283333333333,20260709,2000
120,4,0.9,7,Inf,0.75,0,0.3,0.2,0,"primary",1,0,1,0,1.00204512998815,0.000409025997629403,0.00204512998814702,0.0379605603430819,0.0379532731362753,0.9525,0.153581574283019,1,2000,2000,20.99035,19.3051087374841,0.3339875,20260709,2000
150,4,0.9,7,Inf,0.75,0,0.3,0.2,0,"primary",1,0,1,0,1.00169242028445,0.00033848405689052,0.0016924202844526,0.0353509728432929,0.0353437548483961,0.9425,0.137357536789293,1,2000,2000,21.0173533333333,19.3610717210077,0.33257,20260709,2000
