"N","lambda_bar","cv","D","beta1","cap","compliance","decay","phi","trigger_link","grid","power","mcse_power","power_all","type_s","type_m","bias","rel_bias","emp_se","rmse","coverage","ci_width","conv_rate","R_converged","R_total","mean_n","sd_n","below_k","master_seed","R_requested"
60,2,0.6,14,0.1,Inf,0.75,0,0.3,0,"subceiling",0.495,0.0111797808565284,0.495,0,1.42163633918736,0.000709641118700144,0.00709641118700144,0.0531778379402559,0.0531692777578694,0.9375,0.204263909941533,1,2000,2000,21.030375,13.3279664269202,0.194391666666667,20260722,2000
90,2,0.6,14,0.1,Inf,0.75,0,0.3,0,"subceiling",0.6555,0.0106259058437387,0.6555,0,1.25100147978744,0.001723436295696,0.01723436295696,0.0423709489256547,0.0423953994776477,0.9495,0.167029714801819,1,2000,2000,20.9934555555556,13.2930173847104,0.192638888888889,20260722,2000
20,1,0.9,14,0.1,Inf,0.75,0,0.3,0,"subceiling",0.159186116098145,0.00894982009854774,0.133,0.0148148148148148,2.81477090409376,0.00282072967800642,0.0282072967800642,0.122541259052248,0.122537056577583,0.931178934769599,0.47512149872437,0.8355,1671,2000,10.49935,9.64481289840441,0.58055,20260722,2000
40,1,0.9,14,0.1,Inf,0.75,0,0.3,0,"subceiling",0.233281493001555,0.00962923980459363,0.225,0.00442477876106195,2.09421872491015,0.000283078990748475,0.00283078990748475,0.0853900323495172,0.0853683655843458,0.93675479523069,0.326271272553658,0.9645,1929,2000,10.5085625,9.8417838946376,0.581775,20260722,2000
60,1,0.9,14,0.1,Inf,0.75,0,0.3,0,"subceiling",0.339195979899498,0.0106129262968642,0.3375,0,1.74046469861594,0.00136534759360168,0.0136534759360168,0.0688719750985931,0.0688682040973438,0.941708542713568,0.263641746975977,0.995,1990,2000,10.4696833333333,9.84217872967316,0.58225,20260722,2000
90,1,0.9,14,0.1,Inf,0.75,0,0.3,0,"subceiling",0.462694041061592,0.0111575476255927,0.462,0.00108108108108108,1.51699177410102,0.00278141677232188,0.0278141677232188,0.0580455943393121,0.0580976774509087,0.927391086629945,0.216121521739469,0.9985,1997,2000,10.5381388888889,9.90409976203604,0.577838888888889,20260722,2000
20,2,0.9,14,0.1,Inf,0.75,0,0.3,0,"subceiling",0.210307131702238,0.00929806174093103,0.202,0.0241545893719807,2.26971507806732,-0.00116501601465707,-0.0116501601465707,0.0988413714554144,0.0988225089757547,0.916710046850599,0.369631933213281,0.9605,1921,2000,21.095375,18.7503984168301,0.33225,20260722,2000
40,2,0.9,14,0.1,Inf,0.75,0,0.3,0,"subceiling",0.303455182774161,0.0102880432133896,0.303,0.00328947368421053,1.72670715735489,-0.00382215507196813,-0.0382215507196813,0.0682661906632542,0.0683560386521691,0.944416624937406,0.263789546000052,0.9985,1997,2000,20.9923125,19.0403832154163,0.333775,20260722,2000
60,2,0.9,14,0.1,Inf,0.75,0,0.3,0,"subceiling",0.452952952952953,0.0111363057154096,0.4525,0,1.47765897039177,0.00123599633459021,0.0123599633459021,0.0548841962730579,0.0548843788553104,0.948948948948949,0.216839141880557,0.999,1998,2000,21.083425,19.2620916192981,0.333375,20260722,2000
90,2,0.9,14,0.1,Inf,0.75,0,0.3,0,"subceiling",0.5945,0.0109788375978516,0.5945,0,1.29380370321314,-0.000618593877444826,-0.00618593877444826,0.0466312511016516,0.0466236957018729,0.944,0.176841518451052,1,2000,2000,20.9794055555556,19.237081928629,0.331827777777778,20260722,2000
20,1,0.3,7,0.15,Inf,0.75,0,0.3,0,"subceiling",0.154195011337868,0.0121600676268587,0.068,0.0144927536231884,2.46889431157986,-0.000173378808859953,-0.00115585872573302,0.153918833064324,0.153831650448617,0.945578231292517,0.626615507485373,0.441,882,2000,5.2605,2.74141092716894,0.921625,20260722,2000
40,1,0.3,7,0.15,Inf,0.75,0,0.3,0,"subceiling",0.312693498452012,0.0148926767549214,0.1515,0,1.8856218859064,0.0114255958157448,0.0761706387716323,0.111939764108897,0.112463877066449,0.938080495356037,0.43492542840464,0.4845,969,2000,5.2461625,2.7588372601292,0.924475,20260722,2000
