"N","lambda_bar","cv","D","cap","compliance","decay","phi","beta1","trigger_link","grid","power","mcse_power","power_all","type_s","type_m","bias","rel_bias","emp_se","rmse","coverage","ci_width","conv_rate","R_converged","R_total","mean_n","sd_n","below_k","master_seed","R_requested"
150,4,0.9,14,5,0.75,0,0.3,0.2,0,"S1_cap",1,0,1,0,1.00598335855892,0.00119667171178486,0.00598335855892432,0.0310088411217178,0.0310164263362176,0.948,0.122087860158422,1,1000,1000,29.4584466666667,17.0315832651837,0.167353333333333,20260709,1000
40,1,0.3,28,5,0.75,0,0.3,0.2,0,"S1_cap",0.894,0.00973468027209934,0.894,0,1.05112535573598,-0.0017767496342318,-0.008883748171159,0.0610758767328811,0.061071182199415,0.952,0.24151566692502,1,1000,1000,20.960525,7.72963472679089,0.0468,20260709,1000
90,1,0.3,28,5,0.75,0,0.3,0.2,0,"S1_cap",0.999,0.000999499874937461,0.999,0,1.00237628645427,0.0003281440870323,0.0016407204351615,0.0398509488103011,0.0398323700211525,0.952,0.160324012230257,1,1000,1000,20.9447666666667,7.69937640485053,0.0459222222222222,20260709,1000
150,1,0.3,28,5,0.75,0,0.3,0.2,0,"S1_cap",1,0,1,0,0.997162119946166,-0.000567576010766707,-0.00283788005383354,0.0319435288266671,0.0319325975672855,0.948,0.124890026938486,1,1000,1000,20.96832,7.73892201242139,0.04622,20260709,1000
40,2,0.3,28,5,0.75,0,0.3,0.2,0,"S1_cap",0.946,0.00714730718522718,0.946,0,1.03086732639815,-0.000349442653671372,-0.00174721326835686,0.0568841785009885,0.0568568031473525,0.931,0.212690178551797,1,1000,1000,41.016375,12.9538269714225,0.000775000000000001,20260709,1000
90,2,0.3,28,5,0.75,0,0.3,0.2,0,"S1_cap",1,0,1,0,0.996824281582205,-0.000635143683558992,-0.00317571841779496,0.0359743212095689,0.0359619387992571,0.953,0.141971195726753,1,1000,1000,41.1335666666667,13.0214592228377,0.000866666666666666,20260709,1000
150,2,0.3,28,5,0.75,0,0.3,0.2,0,"S1_cap",1,0,1,0,1.00090824432472,0.000181648864944872,0.000908244324724361,0.0275251504462296,0.0275119841067601,0.958,0.110335650206619,1,1000,1000,41.0794466666667,13.0104760808018,0.000633333333333334,20260709,1000
40,4,0.3,28,5,0.75,0,0.3,0.2,0,"S1_cap",0.974,0.00503229569878401,0.974,0,1.01203611708498,-0.000589580659644956,-0.00294790329822478,0.0521664442948496,0.0521436878041006,0.936,0.200527247617701,1,1000,1000,72.56245,16.1429291902055,0,20260709,1000
90,4,0.3,28,5,0.75,0,0.3,0.2,0,"S1_cap",1,0,1,0,1.00412015640726,0.000824031281451754,0.00412015640725877,0.0344841422154036,0.0344767448553465,0.949,0.133803695482354,1,1000,1000,72.6621111111111,16.2298450784646,0,20260709,1000
150,4,0.3,28,5,0.75,0,0.3,0.2,0,"S1_cap",1,0,1,0,0.994967505125077,-0.00100649897498453,-0.00503249487492266,0.026725312735982,0.026730902317016,0.943,0.103663308111915,1,1000,1000,72.69768,16.299719631343,6.66666666666668e-06,20260709,1000
40,1,0.9,28,5,0.75,0,0.3,0.2,0,"S1_cap",0.815,0.0122790471943062,0.815,0,1.09718406832242,-0.00190887278086213,-0.00954436390431065,0.0685929085208992,0.0685851726508769,0.936,0.264548421076972,1,1000,1000,20.56105,17.7323503081358,0.3349,20260709,1000
90,1,0.9,28,5,0.75,0,0.3,0.2,0,"S1_cap",0.99,0.00314642654451046,0.99,0,1.00693445017943,0.000259328813353193,0.00129664406676597,0.0450733704322718,0.0450515744989685,0.941,0.176247575472942,1,1000,1000,20.6485444444444,17.9680170325478,0.331022222222222,20260709,1000
150,1,0.9,28,5,0.75,0,0.3,0.2,0,"S1_cap",1,0,1,0,1.00347688211403,0.000695376422806065,0.00347688211403033,0.0337722278871419,0.033762499336601,0.947,0.137863928020505,1,1000,1000,20.5719066666667,17.9603912881175,0.33256,20260709,1000
40,2,0.9,28,5,0.75,0,0.3,0.2,0,"S1_cap",0.914,0.00886588969026797,0.914,0,1.05093158146774,4.24649465684268e-05,0.000212324732842134,0.0608432978021166,0.0608128833703953,0.938,0.231828453974183,1,1000,1000,37.573275,27.7338994192375,0.163575,20260709,1000
